dia,costo_inventario
1,682363271.401
2,514986787.731
3,347596995.916
4,184566967.335
5,95550558.605
6,682331436.377
7,514863580.066
8,347447395.941
9,184511379.232
10,95663511.719
11,682367161.187
12,514891122.14
13,347449572.28000003
14,184483489.989
15,95596556.631
16,682313913.6750001
17,514909831.936
18,347425927.458
19,184514391.763
20,95634547.37200001
21,682355936.056
22,514942794.32600003
23,347501337.791
24,184559799.975
25,95582128.586
26,682342542.052
27,514941002.486
28,347529424.883
29,184545028.49400002
30,95637627.097
31,682407443.99
32,514989501.62200004
33,347595502.716
34,184630558.99
35,95658393.77600001
36,682345603.112
37,514878385.144
38,347386368.857
39,184311521.878
40,95527783.572
