dia,costo_inventario
1,167595943.007
2,4793885.0030000005
3,167661994.709
4,4812956.9
5,166801512.078
6,4286230.600000001
7,167590791.467
8,4782323.902
9,167636558.047
10,4368535.784
11,167641668.52400002
12,4785280.438
13,167621517.79
14,4768844.039
15,166839655.872
16,4291434.402
17,167660975.6
18,4775604.502
19,167581865.864
20,4310614.556
21,167618438.065
22,4738849.384000001
23,167611401.36
24,4743015.4120000005
25,166917070.826
26,4378051.201
27,167676023.323
28,4824734.515
29,167662013.374
30,4359240.614
31,167684579.359
32,4792081.964
33,167666086.077
34,4795867.226
35,166770569.241
36,4288429.337
37,167592023.357
38,4744650.466
39,167503793.902
40,4221302.531
