dia,costo_inventario
1,254180541.14900002
2,90180981.54100001
3,254249638.979
4,90169155.397
5,253374250.479
6,89501900.312
7,254192792.85500002
8,90138671.719
9,254212465.76500002
10,89711314.146
11,254241239.729
12,90155921.912
13,254194950.529
14,90228315.981
15,253423936.70900002
16,89535105.347
17,254241347.986
18,90243490.626
19,254164832.685
20,89671800.341
21,254200262.588
22,90147940.758
23,254163317.087
24,90144842.368
25,253501594.308
26,89652549.26
27,254268987.118
28,90188469.939
29,254238189.868
30,89651097.123
31,254252169.953
32,90196298.04
33,254275609.46
34,90199224.712
35,253337887.326
36,89561206.483
37,254199971.414
38,90089261.731
39,254085428.042
40,89481615.19
