,id_tienda,id_producto,reorden,frecuencia_reorden
0,1,1,240,5
1,1,2,11005,5
2,1,3,11915,5
3,1,4,19180,5
4,1,5,685,5
5,1,6,3135,5
6,1,7,15955,5
7,1,8,16170,5
8,1,9,10790,5
9,1,10,2835,5
10,1,11,8225,5
11,1,12,27405,5
12,1,13,23675,5
13,1,14,3465,5
14,1,15,24385,5
15,1,16,10790,5
16,1,17,8675,5
17,1,18,3135,5
18,1,19,13880,5
19,1,20,3465,5
20,1,21,8885,5
21,1,22,685,5
22,1,23,13140,5
23,1,24,10015,5
24,1,25,7875,5
25,1,26,885,5
26,1,27,1265,5
27,1,28,6600,5
28,1,29,8675,5
29,1,30,8420,5
30,1,31,21890,5
31,1,32,12025,5
32,1,33,885,5
33,1,34,12910,5
34,1,35,8675,5
35,1,36,8335,5
36,1,37,19760,5
37,1,38,12360,5
38,1,39,1360,5
39,1,40,21325,5
40,1,41,24475,5
41,1,42,13880,5
42,1,43,21235,5
43,1,44,25725,5
44,1,45,26055,5
45,1,46,8335,5
46,1,47,16170,5
47,1,48,16290,5
48,1,49,6530,5
49,1,50,16965,5
50,1,51,28060,5
51,1,52,13880,5
52,1,53,10670,5
53,1,54,5740,5
54,1,55,15405,5
55,1,56,7275,5
56,1,57,15835,5
57,1,58,9230,5
58,1,59,2375,5
59,1,60,9230,5
60,1,61,25725,5
61,1,62,20875,5
62,1,63,27405,5
63,1,64,9565,5
64,1,65,14820,5
65,1,66,14820,5
66,1,67,17390,5
67,1,68,14820,5
68,1,69,13880,5
69,1,70,23675,5
70,1,71,10325,5
71,1,72,21235,5
72,1,73,26235,5
73,1,74,16840,5
74,1,75,5840,5
75,1,76,7535,5
76,1,77,11670,5
77,1,78,9565,5
78,1,79,5390,5
79,1,80,23125,5
80,1,81,26990,5
81,1,82,23125,5
82,1,83,16615,5
83,1,84,4045,5
84,1,85,15045,5
85,1,86,8675,5
86,1,87,22580,5
87,1,88,1265,5
88,1,89,16400,5
89,1,90,2610,5
90,1,91,24475,5
91,1,92,1265,5
92,1,93,8775,5
93,1,94,4280,5
94,1,95,19180,5
95,1,96,9660,5
96,1,97,7960,5
97,1,98,2525,5
98,1,99,25845,5
99,1,100,5065,5
100,1,101,5515,5
101,1,102,800,5
102,1,103,15955,5
103,1,104,12705,5
104,1,105,1475,5
105,1,106,13925,5
106,1,107,26520,5
107,1,108,330,5
108,1,109,15405,5
109,1,110,1680,5
110,1,111,5950,5
111,1,112,24385,5
112,1,113,17645,5
113,1,114,14020,5
114,1,115,19070,5
115,1,116,7070,5
116,1,117,27175,5
117,1,118,11570,5
118,1,119,0,5
119,1,120,415,5
120,1,121,10960,5
121,1,122,9425,5
122,1,123,0,5
123,1,124,12505,5
124,1,125,10565,5
125,1,126,8675,5
126,1,127,12025,5
127,1,128,25930,5
128,1,129,26720,5
129,1,130,330,5
130,1,131,9330,5
131,1,132,9565,5
132,1,133,16085,5
133,1,134,0,5
134,1,135,15325,5
135,1,136,17980,5
136,1,137,12990,5
137,1,138,9920,5
138,1,139,16085,5
139,1,140,17645,5
140,1,141,9785,5
141,1,142,15405,5
142,1,143,7875,5
143,1,144,800,5
144,1,145,16560,5
145,1,146,8535,5
146,1,147,1170,5
147,1,148,13480,5
148,1,149,6600,5
149,1,150,9330,5
150,1,151,5840,5
151,1,152,5390,5
152,1,153,4705,5
153,1,154,16085,5
154,1,155,19895,5
155,1,156,15325,5
156,1,157,9160,5
157,1,158,18870,5
158,1,159,4825,5
159,1,160,2610,5
160,1,161,21025,5
161,1,162,17645,5
162,1,163,5335,5
163,1,164,15955,5
