id_zona,demanda,tienda
559,29149,7
560,29678,7
562,11230,7
588,11457,7
589,27968,7
600,30781,7
617,17503,7
618,14029,7
630,25068,7
648,14268,7
660,15412,7
679,23956,7
689,28191,7
690,27158,7
709,31187,7
710,25276,7
719,17829,7
720,12715,7
740,24166,7
749,12273,7
750,17072,7
771,22623,7
772,23351,7
778,24951,7
779,25197,7
780,17607,7
802,24334,7
803,33710,7
804,11812,7
808,18832,7
809,23796,7
810,9582,7
834,9002,7
835,23936,7
836,26402,7
837,29898,7
838,32307,7
1877,24210,10
1878,22283,10
1879,20149,10
1880,28757,10
1881,32037,10
1882,11246,10
1907,22030,10
1908,13620,10
1909,30055,10
1910,27507,10
1911,29642,10
1912,23904,10
1938,18985,10
1939,19902,10
1940,18166,10
1941,9044,10
1942,15583,10
1968,21891,10
1969,11802,10
1970,31691,10
1971,31874,10
1972,12554,10
1998,21389,10
1999,28311,10
2000,30767,10
2001,28105,10
2002,26590,10
2029,25144,10
2030,16687,10
2031,14586,10
2032,14875,10
2059,16242,10
2060,13835,10
2061,31343,10
2062,17620,10
2089,12801,10
2090,14249,10
2091,12082,10
