tienda,camion,id_zona,x,y,carga_total
1,1,322,10,21,79999403
1,1,22,0,21,79999403
1,1,23,0,22,79999403
1,1,24,0,23,79999403
1,1,25,0,24,79999403
1,1,26,0,25,79999403
1,1,27,0,26,79999403
1,1,28,0,27,79999403
1,1,29,0,28,79999403
1,1,30,0,29,79999403
1,1,52,1,21,79999403
1,1,53,1,22,79999403
1,1,54,1,23,79999403
1,1,55,1,24,79999403
1,1,56,1,25,79999403
1,1,57,1,26,79999403
1,1,58,1,27,79999403
1,1,59,1,28,79999403
1,1,60,1,29,79999403
1,1,82,2,21,79999403
1,1,83,2,22,79999403
1,1,84,2,23,79999403
1,1,85,2,24,79999403
1,1,86,2,25,79999403
1,1,87,2,26,79999403
1,1,88,2,27,79999403
1,1,89,2,28,79999403
1,1,90,2,29,79999403
1,1,112,3,21,79999403
1,1,113,3,22,79999403
1,1,114,3,23,79999403
1,1,115,3,24,79999403
1,1,116,3,25,79999403
1,1,117,3,26,79999403
1,1,118,3,27,79999403
1,1,119,3,28,79999403
1,1,120,3,29,79999403
1,1,142,4,21,79999403
1,1,143,4,22,79999403
1,1,144,4,23,79999403
1,1,145,4,24,79999403
1,1,322,10,21,79999403
1,2,322,10,21,79996943
1,2,145,4,24,79996943
1,2,146,4,25,79996943
1,2,147,4,26,79996943
1,2,148,4,27,79996943
1,2,149,4,28,79996943
1,2,150,4,29,79996943
1,2,172,5,21,79996943
1,2,173,5,22,79996943
1,2,174,5,23,79996943
1,2,175,5,24,79996943
1,2,176,5,25,79996943
1,2,177,5,26,79996943
1,2,178,5,27,79996943
1,2,179,5,28,79996943
1,2,180,5,29,79996943
1,2,202,6,21,79996943
1,2,203,6,22,79996943
1,2,204,6,23,79996943
1,2,205,6,24,79996943
1,2,206,6,25,79996943
1,2,207,6,26,79996943
1,2,208,6,27,79996943
1,2,209,6,28,79996943
1,2,210,6,29,79996943
1,2,232,7,21,79996943
1,2,233,7,22,79996943
1,2,234,7,23,79996943
1,2,235,7,24,79996943
1,2,236,7,25,79996943
1,2,237,7,26,79996943
1,2,238,7,27,79996943
1,2,239,7,28,79996943
1,2,240,7,29,79996943
1,2,262,8,21,79996943
1,2,263,8,22,79996943
1,2,264,8,23,79996943
1,2,265,8,24,79996943
1,2,266,8,25,79996943
1,2,267,8,26,79996943
1,2,268,8,27,79996943
1,2,269,8,28,79996943
1,2,322,10,21,79996943
1,3,322,10,21,79999781
1,3,269,8,28,79999781
1,3,270,8,29,79999781
1,3,292,9,21,79999781
1,3,293,9,22,79999781
1,3,294,9,23,79999781
1,3,295,9,24,79999781
1,3,296,9,25,79999781
1,3,297,9,26,79999781
1,3,298,9,27,79999781
1,3,299,9,28,79999781
1,3,300,9,29,79999781
1,3,322,10,21,79999781
1,3,323,10,22,79999781
1,3,324,10,23,79999781
1,3,325,10,24,79999781
1,3,326,10,25,79999781
1,3,327,10,26,79999781
1,3,328,10,27,79999781
1,3,329,10,28,79999781
1,3,330,10,29,79999781
1,3,352,11,21,79999781
1,3,353,11,22,79999781
1,3,354,11,23,79999781
1,3,355,11,24,79999781
1,3,356,11,25,79999781
1,3,357,11,26,79999781
1,3,358,11,27,79999781
1,3,359,11,28,79999781
1,3,360,11,29,79999781
1,3,382,12,21,79999781
1,3,383,12,22,79999781
1,3,384,12,23,79999781
1,3,385,12,24,79999781
1,3,386,12,25,79999781
1,3,387,12,26,79999781
1,3,388,12,27,79999781
1,3,389,12,28,79999781
1,3,390,12,29,79999781
1,3,412,13,21,79999781
1,3,413,13,22,79999781
1,3,414,13,23,79999781
1,3,415,13,24,79999781
1,3,416,13,25,79999781
1,3,417,13,26,79999781
1,3,418,13,27,79999781
1,3,322,10,21,79999781
1,4,322,10,21,11588111
1,4,418,13,27,11588111
1,4,442,14,21,11588111
1,4,443,14,22,11588111
1,4,444,14,23,11588111
1,4,445,14,24,11588111
1,4,472,15,21,11588111
1,4,473,15,22,11588111
1,4,322,10,21,11588111
2,1,1439,47,28,74818194
2,1,1288,42,27,74818194
2,1,1289,42,28,74818194
2,1,1290,42,29,74818194
2,1,1317,43,26,74818194
2,1,1318,43,27,74818194
2,1,1319,43,28,74818194
2,1,1320,43,29,74818194
2,1,1347,44,26,74818194
2,1,1348,44,27,74818194
2,1,1349,44,28,74818194
2,1,1350,44,29,74818194
2,1,1377,45,26,74818194
2,1,1378,45,27,74818194
2,1,1379,45,28,74818194
2,1,1380,45,29,74818194
2,1,1407,46,26,74818194
2,1,1408,46,27,74818194
2,1,1409,46,28,74818194
2,1,1410,46,29,74818194
2,1,1438,47,27,74818194
2,1,1439,47,28,74818194
2,1,1440,47,29,74818194
2,1,1468,48,27,74818194
2,1,1469,48,28,74818194
2,1,1470,48,29,74818194
2,1,1498,49,27,74818194
2,1,1499,49,28,74818194
2,1,1500,49,29,74818194
2,1,1528,50,27,74818194
2,1,1529,50,28,74818194
2,1,1530,50,29,74818194
2,1,1558,51,27,74818194
2,1,1559,51,28,74818194
2,1,1560,51,29,74818194
2,1,1589,52,28,74818194
2,1,1590,52,29,74818194
2,1,1439,47,28,74818194
3,1,1371,45,20,79992875
3,1,1224,40,23,79992875
3,1,1225,40,24,79992875
3,1,1251,41,20,79992875
3,1,1252,41,21,79992875
3,1,1253,41,22,79992875
3,1,1254,41,23,79992875
3,1,1255,41,24,79992875
3,1,1256,41,25,79992875
3,1,1278,42,17,79992875
3,1,1279,42,18,79992875
3,1,1280,42,19,79992875
3,1,1281,42,20,79992875
3,1,1282,42,21,79992875
3,1,1283,42,22,79992875
3,1,1284,42,23,79992875
3,1,1285,42,24,79992875
3,1,1286,42,25,79992875
3,1,1287,42,26,79992875
3,1,1304,43,13,79992875
3,1,1305,43,14,79992875
3,1,1306,43,15,79992875
3,1,1307,43,16,79992875
3,1,1308,43,17,79992875
3,1,1309,43,18,79992875
3,1,1310,43,19,79992875
3,1,1311,43,20,79992875
3,1,1312,43,21,79992875
3,1,1313,43,22,79992875
3,1,1314,43,23,79992875
3,1,1315,43,24,79992875
3,1,1316,43,25,79992875
3,1,1334,44,13,79992875
3,1,1335,44,14,79992875
3,1,1336,44,15,79992875
3,1,1337,44,16,79992875
3,1,1338,44,17,79992875
3,1,1339,44,18,79992875
3,1,1340,44,19,79992875
3,1,1341,44,20,79992875
3,1,1342,44,21,79992875
3,1,1343,44,22,79992875
3,1,1371,45,20,79992875
3,2,1371,45,20,79999250
3,2,1343,44,22,79999250
3,2,1344,44,23,79999250
3,2,1345,44,24,79999250
3,2,1346,44,25,79999250
3,2,1364,45,13,79999250
3,2,1365,45,14,79999250
3,2,1366,45,15,79999250
3,2,1367,45,16,79999250
3,2,1368,45,17,79999250
3,2,1369,45,18,79999250
3,2,1370,45,19,79999250
3,2,1371,45,20,79999250
3,2,1372,45,21,79999250
3,2,1373,45,22,79999250
3,2,1374,45,23,79999250
3,2,1375,45,24,79999250
3,2,1376,45,25,79999250
3,2,1394,46,13,79999250
3,2,1395,46,14,79999250
3,2,1396,46,15,79999250
3,2,1397,46,16,79999250
3,2,1398,46,17,79999250
3,2,1399,46,18,79999250
3,2,1400,46,19,79999250
3,2,1401,46,20,79999250
3,2,1402,46,21,79999250
3,2,1403,46,22,79999250
3,2,1404,46,23,79999250
3,2,1405,46,24,79999250
3,2,1425,47,14,79999250
3,2,1426,47,15,79999250
3,2,1427,47,16,79999250
3,2,1428,47,17,79999250
3,2,1429,47,18,79999250
3,2,1430,47,19,79999250
3,2,1431,47,20,79999250
3,2,1371,45,20,79999250
3,3,1371,45,20,40121115
3,3,1431,47,20,40121115
3,3,1432,47,21,40121115
3,3,1433,47,22,40121115
3,3,1434,47,23,40121115
3,3,1457,48,16,40121115
3,3,1458,48,17,40121115
3,3,1459,48,18,40121115
3,3,1460,48,19,40121115
3,3,1461,48,20,40121115
3,3,1462,48,21,40121115
3,3,1463,48,22,40121115
3,3,1488,49,17,40121115
3,3,1489,49,18,40121115
3,3,1490,49,19,40121115
3,3,1491,49,20,40121115
3,3,1492,49,21,40121115
3,3,1520,50,19,40121115
3,3,1521,50,20,40121115
3,3,1371,45,20,40121115
4,1,1680,55,29,79999664
4,1,1618,53,27,79999664
4,1,1619,53,28,79999664
4,1,1620,53,29,79999664
4,1,1647,54,26,79999664
4,1,1648,54,27,79999664
4,1,1649,54,28,79999664
4,1,1650,54,29,79999664
4,1,1676,55,25,79999664
4,1,1677,55,26,79999664
4,1,1678,55,27,79999664
4,1,1679,55,28,79999664
4,1,1680,55,29,79999664
4,1,1704,56,23,79999664
4,1,1705,56,24,79999664
4,1,1706,56,25,79999664
4,1,1707,56,26,79999664
4,1,1708,56,27,79999664
4,1,1709,56,28,79999664
4,1,1710,56,29,79999664
4,1,1734,57,23,79999664
4,1,1735,57,24,79999664
4,1,1736,57,25,79999664
4,1,1737,57,26,79999664
4,1,1738,57,27,79999664
4,1,1739,57,28,79999664
4,1,1740,57,29,79999664
4,1,1764,58,23,79999664
4,1,1765,58,24,79999664
4,1,1766,58,25,79999664
4,1,1767,58,26,79999664
4,1,1768,58,27,79999664
4,1,1769,58,28,79999664
4,1,1770,58,29,79999664
4,1,1794,59,23,79999664
4,1,1795,59,24,79999664
4,1,1796,59,25,79999664
4,1,1797,59,26,79999664
4,1,1680,55,29,79999664
4,2,1680,55,29,79999551
4,2,1797,59,26,79999551
4,2,1798,59,27,79999551
4,2,1799,59,28,79999551
4,2,1800,59,29,79999551
4,2,1824,60,23,79999551
4,2,1825,60,24,79999551
4,2,1826,60,25,79999551
4,2,1827,60,26,79999551
4,2,1828,60,27,79999551
4,2,1829,60,28,79999551
4,2,1830,60,29,79999551
4,2,1854,61,23,79999551
4,2,1855,61,24,79999551
4,2,1856,61,25,79999551
4,2,1857,61,26,79999551
4,2,1858,61,27,79999551
4,2,1859,61,28,79999551
4,2,1860,61,29,79999551
4,2,1883,62,22,79999551
4,2,1884,62,23,79999551
4,2,1885,62,24,79999551
4,2,1886,62,25,79999551
4,2,1887,62,26,79999551
4,2,1888,62,27,79999551
4,2,1889,62,28,79999551
4,2,1890,62,29,79999551
4,2,1913,63,22,79999551
4,2,1914,63,23,79999551
4,2,1915,63,24,79999551
4,2,1916,63,25,79999551
4,2,1917,63,26,79999551
4,2,1918,63,27,79999551
4,2,1919,63,28,79999551
4,2,1920,63,29,79999551
4,2,1943,64,22,79999551
4,2,1944,64,23,79999551
4,2,1945,64,24,79999551
4,2,1946,64,25,79999551
4,2,1680,55,29,79999551
4,3,1680,55,29,79995098
4,3,1946,64,25,79995098
4,3,1947,64,26,79995098
4,3,1948,64,27,79995098
4,3,1949,64,28,79995098
4,3,1950,64,29,79995098
4,3,1973,65,22,79995098
4,3,1974,65,23,79995098
4,3,1975,65,24,79995098
4,3,1976,65,25,79995098
4,3,1977,65,26,79995098
4,3,1978,65,27,79995098
4,3,1979,65,28,79995098
4,3,1980,65,29,79995098
4,3,2003,66,22,79995098
4,3,2004,66,23,79995098
4,3,2005,66,24,79995098
4,3,2006,66,25,79995098
4,3,2007,66,26,79995098
4,3,2008,66,27,79995098
4,3,2009,66,28,79995098
4,3,2010,66,29,79995098
4,3,2033,67,22,79995098
4,3,2034,67,23,79995098
4,3,2035,67,24,79995098
4,3,2036,67,25,79995098
4,3,2037,67,26,79995098
4,3,2038,67,27,79995098
4,3,2039,67,28,79995098
4,3,2040,67,29,79995098
4,3,2063,68,22,79995098
4,3,2064,68,23,79995098
4,3,2065,68,24,79995098
4,3,2066,68,25,79995098
4,3,2067,68,26,79995098
4,3,2068,68,27,79995098
4,3,2069,68,28,79995098
4,3,2070,68,29,79995098
4,3,2092,69,21,79995098
4,3,2093,69,22,79995098
4,3,2094,69,23,79995098
4,3,2095,69,24,79995098
4,3,1680,55,29,79995098
4,4,1680,55,29,8183794
4,4,2095,69,24,8183794
4,4,2096,69,25,8183794
4,4,2097,69,26,8183794
4,4,2098,69,27,8183794
4,4,2099,69,28,8183794
4,4,2100,69,29,8183794
4,4,1680,55,29,8183794
5,1,1660,55,9,139999472
5,1,1512,50,11,139999472
5,1,1540,51,9,139999472
5,1,1541,51,10,139999472
