dia,distancia_total
1,2736.57847602752
2,2736.733541770807
3,2736.2898144818128
4,2733.6344145426724
5,2734.3477635847057
6,2733.122483384768
7,2734.8236702091317
8,2704.636226768865
9,2731.2951668426085
10,2704.125755284708
11,2731.157247077868
12,2732.014939307844
13,2737.2903070152865
14,2703.7579782039097
15,2732.7052893852897
16,2701.687122375458
17,2734.725311135561
18,2733.6518236138254
19,2731.794681539004
20,2734.44723378003
21,2730.686531026613
22,2733.492994853778
23,2735.2679102313587
24,2733.202155053387
25,2731.344123461061
26,2703.3163980839868
27,2703.300322301668
28,2735.2346443183405
29,2710.7675796091567
30,2707.108214980952
31,2700.2525686424774
32,2730.695502456759
33,2735.9899872681176
34,2703.784947904169
35,2731.9363221723565
36,2738.779913129678
37,2730.735881719273
38,2701.397559047486
39,2737.0523204317315
40,2701.402011642743
