id_zona,p_k (entero óptimo),A_k(P_i),U_k (entero óptimo),dia
1309,1107295.2,-16829.987039999996,0.0,20
1541,1098308.0,-16693.381599999997,0.0,20
275,1093453.5999999999,-16619.594719999997,0.0,20
1749,1084204.0,-16479.000799999998,0.0,20
1159,1083810.4,-16473.018079999998,0.0,20
1800,1083187.2,-16463.545439999998,0.0,20
1962,1081055.2,-16431.13904,0.0,20
1954,1079677.5999999999,-16410.199519999995,0.0,20
1290,1079513.5999999999,-16407.706719999995,0.0,20
1328,1078300.0,-16389.26,0.0,20
622,1076725.5999999999,-16365.329119999999,0.0,20
1661,1075413.5999999999,-16345.386719999999,0.0,20
1832,1072888.0,-16306.9976,0.0,20
1652,1072691.2,-16304.006239999999,0.0,20
2066,1071707.2,-16289.049439999999,0.0,20
488,1067705.5999999999,-16228.225119999997,0.0,20
72,1065737.5999999999,-16198.311519999997,0.0,20
1460,1064163.2,-16174.38064,0.0,20
106,1063638.4,-16166.40368,0.0,20
743,1062720.0,-16152.444,0.0,20
992,1061539.2,-16134.49584,0.0,20
288,1061375.2,-16132.00304,0.0,20
1713,1061080.0,-16127.516,0.0,20
339,1060752.0,-16122.5304,0.0,20
597,1060686.4,-16121.53328,0.0,20
457,1058259.2,-16084.63984,0.0,20
1025,1058160.7999999998,-16083.144159999998,0.0,20
880,1057373.5999999999,-16071.178719999998,0.0,20
624,1056061.5999999999,-16051.236319999998,0.0,20
1094,1055504.0,-16042.7608,0.0,20
2076,1055077.5999999999,-16036.279519999998,0.0,20
1918,1054060.7999999998,-16020.824159999998,0.0,20
1180,1053864.0,-16017.8328,0.0,20
1173,1053601.5999999999,-16013.844319999998,0.0,20
1077,1052092.7999999998,-15990.910559999997,0.0,20
250,1052060.0,-15990.412,0.0,20
94,1051994.4,-15989.414879999998,0.0,20
219,1051732.0,-15985.4264,0.0,20
1881,1050879.2,-15972.46384,0.0,20
1103,1050879.2,-15972.46384,0.0,20
945,1050584.0,-15967.9768,0.0,20
2052,1050584.0,-15967.9768,0.0,20
944,1050420.0,-15965.484,0.0,20
702,1050059.2,-15959.99984,0.0,20
838,1049665.5999999999,-15954.017119999999,0.0,20
1402,1049272.0,-15948.0344,0.0,20
1641,1048648.7999999998,-15938.561759999997,0.0,20
1296,1048583.2,-15937.56464,0.0,20
1362,1047697.5999999999,-15924.103519999999,0.0,20
519,1046451.2,-15905.158239999999,0.0,20
1373,1045893.5999999999,-15896.682719999999,0.0,20
77,1045237.5999999999,-15886.711519999999,0.0,20
1990,1045040.7999999999,-15883.720159999999,0.0,20
1413,1044483.2,-15875.244639999999,0.0,20
1088,1042744.7999999999,-15848.82096,0.0,20
90,1041990.3999999999,-15837.35408,0.0,20
1350,1041760.7999999999,-15833.86416,0.0,20
1565,1041727.9999999999,-15833.3656,0.0,20
137,1040350.3999999999,-15812.42608,0.0,20
949,1040219.2,-15810.43184,0.0,20
430,1039792.7999999999,-15803.95056,0.0,20
1873,1039661.5999999999,-15801.956319999998,0.0,20
1900,1039235.2,-15795.47504,0.0,20
276,1039169.5999999999,-15794.477919999998,0.0,20
499,1038939.9999999999,-15790.988,0.0,20
1481,1038579.2,-15785.50384,0.0,20
154,1038579.2,-15785.50384,0.0,20
991,1037759.2,-15773.03984,0.0,20
605,1037332.7999999999,-15766.55856,0.0,20
1904,1037135.9999999999,-15763.567199999998,0.0,20
262,1036971.9999999999,-15761.074399999998,0.0,20
910,1036611.2,-15755.59024,0.0,20
34,1036217.5999999999,-15749.607519999998,0.0,20
1441,1036086.3999999999,-15747.61328,0.0,20
1401,1035889.5999999999,-15744.621919999998,0.0,20
1671,1035135.2,-15733.15504,0.0,20
1412,1034544.7999999999,-15724.18096,0.0,20
451,1033921.5999999999,-15714.708319999998,0.0,20
368,1033855.9999999999,-15713.711199999998,0.0,20
80,1033823.2,-15713.21264,0.0,20
633,1033527.9999999999,-15708.725599999998,0.0,20
585,1033495.2,-15708.22704,0.0,20
1462,1033232.7999999999,-15704.23856,0.0,20
1420,1033101.5999999999,-15702.244319999998,0.0,20
1122,1032904.7999999999,-15699.25296,0.0,20
1398,1032871.9999999999,-15698.754399999998,0.0,20
1086,1032609.5999999999,-15694.765919999998,0.0,20
363,1032576.7999999999,-15694.26736,0.0,20
753,1031986.3999999999,-15685.293279999998,0.0,20
634,1031691.2,-15680.80624,0.0,20
1654,1031527.2,-15678.31344,0.0,20
803,1031166.3999999999,-15672.829279999998,0.0,20
1215,1030608.7999999999,-15664.35376,0.0,20
1131,1030313.5999999999,-15659.866719999998,0.0,20
1597,1029887.2,-15653.38544,0.0,20
1752,1029001.5999999999,-15639.924319999998,0.0,20
1946,1029001.5999999999,-15639.924319999998,0.0,20
1292,1028968.7999999999,-15639.42576,0.0,20
1970,1028706.3999999999,-15635.437279999998,0.0,20
975,1028673.5999999999,-15634.938719999998,0.0,20
821,1028640.7999999999,-15634.44016,0.0,20
230,1028411.2,-15630.95024,0.0,20
1824,1028247.2,-15628.45744,0.0,20
1734,1028148.7999999999,-15626.96176,0.0,20
1170,1026869.5999999999,-15607.517919999998,0.0,20
1780,1026672.7999999999,-15604.526559999998,0.0,20
2061,1026344.7999999999,-15599.540959999998,0.0,20
754,1025688.7999999999,-15589.569759999998,0.0,20
1346,1025688.7999999999,-15589.569759999998,0.0,20
1405,1025524.7999999999,-15587.076959999999,0.0,20
1199,1025163.9999999999,-15581.592799999999,0.0,20
645,1024212.7999999999,-15567.134559999999,0.0,20
515,1022802.3999999999,-15545.696479999999,0.0,20
260,1022539.9999999999,-15541.707999999999,0.0,20
1659,1021588.7999999999,-15527.249759999999,0.0,20
1164,1021555.9999999999,-15526.751199999999,0.0,20
1051,1021162.3999999999,-15520.768479999999,0.0,20
1784,1020998.3999999999,-15518.275679999999,0.0,20
685,1020932.7999999999,-15517.278559999999,0.0,20
155,1020735.9999999999,-15514.287199999999,0.0,20
1012,1020342.3999999999,-15508.304479999999,0.0,20
698,1020309.5999999999,-15507.805919999999,0.0,20
1775,1020243.9999999999,-15506.808799999999,0.0,20
843,1020112.7999999999,-15504.814559999999,0.0,20
