dia,distancia_total
1,2456.306578398708
2,2457.446578398708
3,2459.57387110856
4,2452.03823276104
5,2455.336578398708
6,2458.8071856716037
7,2462.2159344611127
8,2456.795934461112
9,2460.1671856716034
10,2443.889999999999
11,2442.59
12,2459.265934461113
13,2454.946578398708
14,2446.67
15,2451.9282327610395
16,2450.596578398708
17,2449.886578398708
18,2460.8659344611124
19,2453.7659344611125
20,2449.55823276104
21,2457.8365783987074
22,2455.5775888234443
23,2458.436578398708
24,2465.261322503497
25,2439.7899999999995
26,2452.2365783987075
27,2457.5859344611126
28,2458.216578398708
29,2462.275934461112
30,2447.766578398708
31,2454.186578398708
32,2445.3599999999988
33,2459.0259344611127
34,2448.6599999999994
35,2448.766578398708
36,2451.663992720528
37,2462.6459344611126
38,2455.956578398708
39,2458.8875888234443
40,2453.656578398708
