dia,distancia_total
1,2448.645932073229
2,2436.6243454313826
3,2443.6740770288734
4,2438.764332334385
5,2441.241497450068
6,2442.2700237152494
7,2444.913507035287
8,2446.6414821945664
9,2447.9909403842967
10,2440.9692595835213
11,2442.0586115163237
12,2442.3534186216693
13,2443.043007383455
14,2434.646259088084
15,2444.8813810287274
16,2443.057725641036
17,2448.475576097584
18,2444.188418456035
19,2440.0187634815484
20,2432.42481535004
21,2445.920535819975
22,2437.870985456213
23,2442.441905986654
24,2442.88821176459
25,2432.4253988174896
26,2440.9045579449767
27,2444.993243973462
28,2440.5211086639174
29,2447.8079411826466
30,2439.8049562804454
31,2444.0008530459645
32,2428.372976822623
33,2419.0245931281684
34,2432.500730071444
35,2444.893562512333
36,2438.7139768680127
37,2449.4742454725165
38,2445.4983514607147
39,2447.6710326650154
40,2443.1379034170104
