id_zona,distancia,p_k (entero óptimo),U_k (entero óptimo),dia
1512,0.0,0,-1314.4093181356507,14
1540,0.0,0,-1314.4093181356507,14
1541,0.0,0,-1314.4093181356507,14
1542,0.0,0,-1314.4093181356507,14
1568,0.0,0,-1314.4093181356507,14
1569,0.0,0,-1314.4093181356507,14
1570,0.0,0,-1314.4093181356507,14
1571,0.0,0,-1314.4093181356507,14
1572,0.0,0,-1314.4093181356507,14
1573,0.0,0,-1314.4093181356507,14
1596,0.0,0,-1314.4093181356507,14
1597,0.0,0,-1314.4093181356507,14
1598,0.0,0,-1314.4093181356507,14
1599,0.0,0,-1314.4093181356507,14
1600,0.0,0,-1314.4093181356507,14
1601,0.0,0,-1314.4093181356507,14
1602,0.0,0,-1314.4093181356507,14
1603,0.0,0,-1314.4093181356507,14
1624,0.0,0,-1314.4093181356507,14
1625,0.0,0,-1314.4093181356507,14
1626,0.0,0,-1314.4093181356507,14
1627,0.0,0,-1314.4093181356507,14
1628,0.0,0,-1314.4093181356507,14
1629,0.0,0,-1314.4093181356507,14
1630,0.0,0,-1314.4093181356507,14
1631,0.0,0,-1314.4093181356507,14
1632,0.0,0,-1314.4093181356507,14
1633,0.0,0,-1314.4093181356507,14
1653,0.0,0,-1314.4093181356507,14
1654,0.0,0,-1314.4093181356507,14
1655,0.0,0,-1314.4093181356507,14
1656,0.0,0,-1314.4093181356507,14
1657,0.0,0,-1314.4093181356507,14
1658,0.0,0,-1314.4093181356507,14
1659,0.0,0,-1314.4093181356507,14
1660,0.0,0,-1314.4093181356507,14
1661,0.0,0,-1314.4093181356507,14
1662,0.0,0,-1314.4093181356507,14
1663,0.0,0,-1314.4093181356507,14
1664,0.0,0,-1314.4093181356507,14
1681,0.0,0,-1314.4093181356507,14
1682,0.0,0,-1314.4093181356507,14
1683,0.0,0,-1314.4093181356507,14
1684,0.0,0,-1314.4093181356507,14
1685,0.0,0,-1314.4093181356507,14
1686,0.0,0,-1314.4093181356507,14
1687,0.0,0,-1314.4093181356507,14
1688,0.0,0,-1314.4093181356507,14
1689,0.0,0,-1314.4093181356507,14
1690,0.0,0,-1314.4093181356507,14
1691,0.0,0,-1314.4093181356507,14
1692,0.0,0,-1314.4093181356507,14
1693,0.0,0,-1314.4093181356507,14
1694,0.0,0,-1314.4093181356507,14
1711,0.0,0,-1314.4093181356507,14
1712,0.0,0,-1314.4093181356507,14
1713,0.0,0,-1314.4093181356507,14
1714,0.0,0,-1314.4093181356507,14
1715,0.0,0,-1314.4093181356507,14
1716,0.0,0,-1314.4093181356507,14
1717,0.0,0,-1314.4093181356507,14
1718,0.0,0,-1314.4093181356507,14
1719,0.0,0,-1314.4093181356507,14
1720,0.0,0,-1314.4093181356507,14
1721,0.0,0,-1314.4093181356507,14
1722,0.0,0,-1314.4093181356507,14
1723,0.0,0,-1314.4093181356507,14
1724,0.0,0,-1314.4093181356507,14
1741,0.0,0,-1314.4093181356507,14
1742,0.0,0,-1314.4093181356507,14
1743,0.0,0,-1314.4093181356507,14
1744,0.0,0,-1314.4093181356507,14
1745,0.0,0,-1314.4093181356507,14
1746,0.0,0,-1314.4093181356507,14
1747,0.0,0,-1314.4093181356507,14
1748,0.0,0,-1314.4093181356507,14
1749,0.0,0,-1314.4093181356507,14
1750,0.0,0,-1314.4093181356507,14
1751,0.0,0,-1314.4093181356507,14
1752,0.0,0,-1314.4093181356507,14
1753,0.0,0,-1314.4093181356507,14
1754,0.0,0,-1314.4093181356507,14
1755,0.0,0,-1314.4093181356507,14
1771,0.0,0,-1314.4093181356507,14
1772,0.0,0,-1314.4093181356507,14
1773,0.0,0,-1314.4093181356507,14
1774,0.0,0,-1314.4093181356507,14
1775,0.0,0,-1314.4093181356507,14
1776,0.0,0,-1314.4093181356507,14
1777,0.0,0,-1314.4093181356507,14
1778,0.0,0,-1314.4093181356507,14
1779,0.0,0,-1314.4093181356507,14
1780,0.0,0,-1314.4093181356507,14
1781,0.0,0,-1314.4093181356507,14
1782,0.0,0,-1314.4093181356507,14
1783,0.0,0,-1314.4093181356507,14
1784,0.0,0,-1314.4093181356507,14
1785,0.0,0,-1314.4093181356507,14
1801,0.0,0,-1314.4093181356507,14
1802,0.0,0,-1314.4093181356507,14
1803,0.0,0,-1314.4093181356507,14
1804,0.0,0,-1314.4093181356507,14
1805,0.0,0,-1314.4093181356507,14
1806,0.0,0,-1314.4093181356507,14
1807,0.0,0,-1314.4093181356507,14
1808,0.0,0,-1314.4093181356507,14
1809,0.0,0,-1314.4093181356507,14
1810,0.0,0,-1314.4093181356507,14
1811,0.0,0,-1314.4093181356507,14
1812,0.0,0,-1314.4093181356507,14
