tienda,rutas,carga,distancia,carga_total,n_camiones_utilizados,n_camiones_disponibles
1,"[[322, 323, 352, 322], [322, 293, 172, 142, 112, 82, 52, 22, 23, 24, 25, 26, 27, 28, 29, 30, 60, 59, 90, 120, 150, 119, 149, 180, 210, 240, 270, 300, 330, 360, 390, 389, 359, 329, 328, 358, 388, 418, 417, 387, 357, 322], [322, 382, 412, 442, 472, 473, 443, 413, 384, 383, 353, 354, 324, 325, 295, 265, 296, 266, 267, 268, 238, 208, 178, 147, 146, 145, 144, 174, 204, 205, 175, 176, 177, 207, 237, 206, 236, 235, 234, 233, 264, 294, 263, 262, 292, 322], [322, 232, 202, 203, 173, 143, 113, 83, 53, 54, 55, 56, 57, 58, 89, 88, 87, 86, 85, 84, 114, 115, 116, 117, 118, 148, 179, 209, 239, 269, 299, 298, 297, 327, 326, 356, 386, 416, 445, 444, 415, 414, 385, 355, 322]]","[3352081, 79882938, 79814232, 79949821]","[3.414213562373095, 49.878979388702824, 48.48528137423857, 50.23334547203385]",242999072,4,4
2,"[[1439, 1469, 1470, 1500, 1499, 1529, 1530, 1560, 1590, 1589, 1559, 1558, 1528, 1498, 1468, 1438, 1408, 1407, 1377, 1348, 1347, 1317, 1318, 1288, 1289, 1290, 1320, 1319, 1349, 1350, 1380, 1379, 1378, 1409, 1410, 1440, 1439]]",[72605827],[36.828427124746185],72605827,1,1
3,"[[1371, 1370, 1369, 1399, 1398, 1428, 1458, 1459, 1460, 1429, 1430, 1431, 1432, 1433, 1403, 1402, 1401, 1400, 1371], [1371, 1372, 1373, 1374, 1404, 1434, 1405, 1375, 1376, 1346, 1316, 1286, 1287, 1256, 1225, 1224, 1255, 1285, 1254, 1253, 1252, 1251, 1281, 1311, 1310, 1340, 1341, 1312, 1282, 1283, 1314, 1284, 1315, 1345, 1344, 1313, 1343, 1342, 1371], [1371, 1339, 1309, 1280, 1279, 1278, 1308, 1338, 1368, 1367, 1337, 1307, 1306, 1336, 1366, 1365, 1335, 1305, 1304, 1334, 1364, 1394, 1395, 1425, 1426, 1396, 1397, 1427, 1457, 1488, 1489, 1490, 1520, 1521, 1491, 1492, 1463, 1462, 1461, 1371]]","[37971300, 77970169, 78402445]","[18.82842712474619, 42.142135623730944, 43.47870866461908]",194343914,3,3
4,"[[1680, 1649, 1679, 1678, 1708, 1707, 1676, 1677, 1647, 1618, 1648, 1619, 1620, 1650, 1680], [1680, 1709, 1738, 1768, 1798, 1797, 1796, 1766, 1767, 1737, 1736, 1735, 1765, 1795, 1826, 1825, 1856, 1886, 1887, 1857, 1827, 1828, 1829, 1799, 1769, 1770, 1740, 1710, 1680], [1680, 1800, 1830, 1860, 1859, 1858, 1888, 1918, 1948, 1978, 1977, 1976, 1975, 1974, 1973, 1943, 1944, 1945, 1946, 1947, 1917, 1916, 1915, 1914, 1913, 1883, 1884, 1885, 1854, 1855, 1824, 1794, 1764, 1734, 1704, 1705, 1706, 1680], [1680, 1890, 1920, 1950, 1980, 2010, 2040, 2070, 2100, 2099, 2098, 2097, 2096, 2095, 2094, 2093, 2092, 2063, 2064, 2065, 2066, 2067, 2068, 2069, 2039, 2038, 2037, 2036, 2035, 2034, 2033, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 1979, 1949, 1919, 1889, 1739, 1680]]","[26320752, 56326307, 79380424, 78982715]","[15.656854249492381, 29.65685424949238, 43.951532750363846, 54.65028153987288]",241010198,4,4
5,"[[1660, 1630, 1601, 1600, 1570, 1540, 1541, 1512, 1542, 1573, 1603, 1572, 1571, 1602, 1633, 1663, 1664, 1694, 1724, 1753, 1752, 1723, 1693, 1692, 1662, 1632, 1631, 1660], [1660, 1599, 1569, 1568, 1597, 1626, 1656, 1655, 1685, 1684, 1714, 1713, 1712, 1742, 1772, 1802, 1833, 1864, 1895, 1896, 1897, 1898, 1899, 1900, 1930, 1960, 1961, 1931, 1901, 1871, 1872, 1873, 1874, 1844, 1843, 1842, 1841, 1811, 1812, 1813, 1784, 1783, 1782, 1781, 1751, 1722, 1721, 1691, 1661, 1660], [1660, 1689, 1719, 1749, 1748, 1778, 1779, 1809, 1839, 1838, 1837, 1836, 1835, 1804, 1774, 1805, 1806, 1807, 1808, 1777, 1776, 1746, 1747, 1717, 1718, 1688, 1658, 1659, 1629, 1628, 1598, 1627, 1657, 1687, 1686, 1716, 1715, 1745, 1775, 1744, 1743, 1773, 1803, 1834, 1865, 1866, 1867, 1868, 1869, 1870, 1840, 1810, 1780, 1750, 1720, 1690, 1660], [1660, 1596, 1625, 1624, 1654, 1653, 1683, 1682, 1681, 1711, 1741, 1771, 1801, 1831, 1832, 1863, 1894, 1893, 1892, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1959, 1958, 1957, 1956, 1955, 1954, 1953, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1962, 1963, 1964, 1965, 1966, 1967, 1937, 1936, 1935, 1934, 1933, 1932, 1902, 1903, 1904, 1905, 1906, 1876, 1875, 1846, 1845, 1815, 1814, 1785, 1755, 1754, 1660], [1660, 1862, 1861, 1891, 1922, 1921, 1952, 1951, 1982, 1981, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2049, 2048, 2047, 2046, 2045, 2044, 2043, 2042, 2041, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2058, 2057, 2056, 2055, 2054, 2053, 2052, 2051, 2050, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 1997, 1996, 1995, 1994, 1993, 1660]]","[52514871, 103648746, 116262145, 139614672, 139505474]","[30.72792206135786, 53.135562914111446, 59.31370849898475, 78.95741732923815, 90.6887543132184]",551545908,5,5
6,"[[34, 35, 65, 66, 36, 37, 38, 39, 40, 41, 42, 72, 73, 103, 102, 101, 71, 70, 69, 68, 97, 67, 96, 95, 94, 64, 33, 32, 62, 61, 31, 1, 2, 3, 34], [34, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 43, 44, 14, 15, 16, 45, 75, 74, 104, 134, 133, 163, 162, 132, 131, 130, 100, 99, 128, 98, 127, 126, 125, 124, 123, 92, 93, 63, 34], [34, 91, 121, 122, 153, 152, 151, 182, 183, 213, 212, 242, 243, 244, 245, 246, 247, 248, 219, 218, 217, 216, 215, 214, 184, 185, 186, 187, 188, 189, 159, 129, 158, 157, 156, 155, 154, 34], [34, 181, 301, 302, 303, 333, 332, 331, 361, 362, 363, 393, 392, 391, 421, 422, 423, 453, 452, 451, 481, 511, 482, 483, 484, 454, 455, 456, 457, 427, 428, 398, 397, 367, 368, 369, 339, 338, 337, 307, 306, 34], [34, 211, 241, 271, 272, 273, 274, 304, 334, 364, 394, 424, 425, 426, 396, 395, 365, 366, 336, 335, 305, 275, 276, 277, 278, 279, 308, 309, 310, 281, 280, 251, 222, 192, 221, 250, 249, 220, 191, 161, 190, 160, 34]]","[68528193, 70472426, 79134623, 79984299, 79277092]","[35.65685424949238, 41.07106781186547, 44.262405524956364, 57.464709914511275, 57.64722854478518]",377396633,5,5
7,"[[535, 534, 533, 563, 594, 593, 623, 653, 802, 803, 804, 834, 835, 836, 837, 838, 809, 810, 654, 624, 625, 626, 597, 596, 595, 565, 564, 535], [535, 505, 474, 475, 476, 446, 447, 448, 478, 509, 479, 449, 419, 420, 450, 480, 510, 540, 570, 600, 630, 660, 690, 720, 750, 780, 779, 808, 778, 749, 719, 689, 539, 538, 508, 477, 507, 506, 535], [535, 536, 566, 567, 568, 598, 627, 628, 657, 656, 655, 685, 715, 745, 744, 714, 684, 683, 652, 651, 621, 622, 592, 589, 618, 679, 710, 772, 771, 740, 709, 648, 617, 588, 560, 562, 532, 502, 503, 504, 535], [535, 531, 561, 591, 559, 590, 620, 650, 619, 649, 680, 681, 682, 713, 712, 711, 741, 742, 743, 773, 774, 775, 805, 806, 807, 777, 776, 746, 747, 748, 718, 717, 716, 686, 687, 688, 659, 658, 629, 599, 569, 537, 535]]","[61754199, 80735507, 81584677, 85296378]","[39.56612343899181, 44.48528137423857, 52.678766680976494, 50.95741732923814]",309370761,4,4
8,"[[1385, 1384, 1383, 1413, 1412, 1442, 1473, 1472, 1503, 1504, 1474, 1443, 1444, 1414, 1415, 1416, 1386, 1385], [1385, 1355, 1326, 1325, 1295, 1296, 1297, 1327, 1358, 1388, 1389, 1390, 1391, 1392, 1422, 1421, 1420, 1450, 1479, 1449, 1419, 1418, 1448, 1478, 1477, 1447, 1417, 1387, 1357, 1356, 1385], [1385, 1445, 1475, 1505, 1535, 1536, 1537, 1567, 1566, 1565, 1595, 1594, 1593, 1623, 1622, 1652, 1651, 1621, 1591, 1592, 1561, 1562, 1563, 1564, 1534, 1533, 1532, 1531, 1501, 1502, 1471, 1441, 1411, 1381, 1382, 1352, 1353, 1324, 1354, 1385], [1385, 1328, 1298, 1267, 1268, 1269, 1299, 1329, 1359, 1360, 1330, 1300, 1270, 1271, 1301, 1331, 1361, 1362, 1332, 1302, 1303, 1333, 1363, 1393, 1423, 1453, 1452, 1482, 1511, 1481, 1451, 1480, 1510, 1539, 1538, 1509, 1508, 1507, 1506, 1476, 1446, 1385]]","[33169695, 60092256, 79590564, 79898219]","[18.242640687119284, 31.656854249492383, 41.656854249492376, 46.91268706482924]",252750734,4,4
9,"[[319, 288, 287, 257, 286, 256, 226, 255, 285, 315, 314, 344, 374, 373, 403, 433, 402, 432, 463, 493, 494, 495, 496, 466, 467, 468, 438, 439, 409, 379, 349, 319], [319, 348, 378, 377, 408, 407, 406, 437, 436, 435, 465, 464, 434, 404, 405, 375, 345, 376, 346, 316, 317, 347, 318, 289, 290, 260, 259, 229, 199, 200, 201, 231, 230, 261, 291, 321, 351, 320, 319], [319, 350, 380, 381, 410, 411, 441, 440, 470, 469, 499, 498, 497, 527, 526, 525, 556, 555, 524, 523, 492, 462, 431, 401, 371, 372, 342, 343, 313, 283, 284, 254, 224, 195, 225, 196, 197, 198, 228, 258, 319], [319, 169, 170, 171, 141, 140, 139, 138, 108, 109, 110, 111, 81, 80, 79, 78, 48, 49, 50, 51, 21, 20, 19, 18, 17, 47, 46, 76, 77, 107, 106, 105, 135, 136, 137, 166, 167, 168, 227, 319], [319, 165, 194, 164, 193, 223, 253, 252, 282, 312, 311, 341, 340, 370, 400, 399, 429, 459, 458, 489, 490, 460, 430, 461, 491, 521, 522, 553, 554, 585, 586, 587, 557, 558, 528, 529, 530, 500, 501, 471, 319]]","[68797937, 71775861, 78438756, 79790758, 79183073]","[33.071067811865476, 41.31370849898475, 44.54977647648454, 47.255832815336866, 52.27357041880592]",377986385,5,5
10,"[[1606, 1635, 1636, 1637, 1667, 1668, 1697, 1696, 1666, 1665, 1634, 1604, 1574, 1544, 1543, 1513, 1514, 1485, 1484, 1483, 1454, 1424, 1455, 1456, 1486, 1487, 1518, 1517, 1516, 1515, 1545, 1575, 1605, 1606], [1606, 1576, 1546, 1547, 1578, 1548, 1579, 1549, 1519, 1550, 1580, 1581, 1611, 1641, 1642, 1672, 1673, 1703, 1733, 1762, 1732, 1702, 1701, 1671, 1700, 1670, 1640, 1610, 1609, 1608, 1638, 1607, 1577, 1606], [1606, 1695, 1725, 1726, 1756, 1786, 1816, 1817, 1847, 1818, 1819, 1849, 1850, 1851, 1852, 1853, 1823, 1822, 1793, 1763, 1792, 1821, 1820, 1791, 1790, 1789, 1788, 1787, 1757, 1758, 1759, 1760, 1761, 1731, 1730, 1729, 1728, 1727, 1698, 1699, 1669, 1639, 1606], [1606, 1848, 1878, 1879, 1880, 1881, 1882, 1912, 1911, 1910, 1909, 1939, 1940, 1941, 1942, 1971, 1972, 2002, 2001, 2031, 2032, 2062, 2061, 2091, 2090, 2089, 2059, 2060, 2030, 2029, 1999, 2000, 1970, 1969, 1998, 1968, 1938, 1908, 1907, 1877, 1606]]","[59151281, 74634164, 79375115, 79117878]","[35.89949493661167, 35.89949493661166, 48.80983669457533, 56.130023514118925]",292278438,4,4
