id_zona,p_k (entero óptimo),A_k(P_i),U_k (entero óptimo),dia
1713,1101916.0,-16748.223199999997,0.0,5
803,1091256.0,-16586.191199999997,0.0,5
488,1090698.4,-16577.715679999998,0.0,5
1290,1090009.5999999999,-16567.245919999998,0.0,5
838,1087779.2,-16533.343839999998,0.0,5
992,1082793.5999999999,-16457.562719999998,0.0,5
1090,1082629.5999999999,-16455.069919999998,0.0,5
1597,1082564.0,-16454.072799999998,0.0,5
1309,1081514.4,-16438.118879999998,0.0,5
597,1076594.4,-16363.334879999999,0.0,5
1170,1075741.5999999999,-16350.372319999999,0.0,5
1832,1073937.5999999999,-16322.951519999999,0.0,5
1565,1073248.7999999998,-16312.481759999997,0.0,5
975,1071018.4,-16278.579679999999,0.0,5
1824,1070788.7999999998,-16275.089759999997,0.0,5
275,1070788.7999999998,-16275.089759999997,0.0,5
1346,1069411.2,-16254.150239999999,0.0,5
90,1068296.0,-16237.199200000001,0.0,5
1541,1067279.2,-16221.74384,0.0,5
1088,1066852.7999999998,-16215.262559999997,0.0,5
945,1065639.2,-16196.81584,0.0,5
519,1064753.5999999999,-16183.354719999998,0.0,5
94,1062982.4,-16156.43248,0.0,5
1103,1062523.2,-16149.45264,0.0,5
1749,1061178.4,-16129.01168,0.0,5
288,1061112.7999999998,-16128.014559999998,0.0,5
1441,1061014.4,-16126.51888,0.0,5
949,1059997.5999999999,-16111.063519999998,0.0,5
2052,1059505.5999999999,-16103.585119999998,0.0,5
1962,1059013.5999999999,-16096.106719999998,0.0,5
1238,1058980.7999999998,-16095.608159999998,0.0,5
1652,1058652.7999999998,-16090.622559999998,0.0,5
1900,1057996.7999999998,-16080.651359999998,0.0,5
1460,1055471.2,-16042.26224,0.0,5
743,1055241.5999999999,-16038.772319999998,0.0,5
1954,1054618.4,-16029.299679999998,0.0,5
1077,1054224.7999999998,-16023.316959999998,0.0,5
1122,1054159.2,-16022.31984,0.0,5
77,1053601.5999999999,-16013.844319999998,0.0,5
754,1053273.5999999999,-16008.858719999998,0.0,5
1462,1052453.5999999999,-15996.394719999998,0.0,5
250,1051863.2,-15987.42064,0.0,5
1971,1051699.2,-15984.92784,0.0,5
1904,1051108.7999999998,-15975.953759999997,0.0,5
34,1051010.4,-15974.458079999999,0.0,5
1873,1050748.0,-15970.4696,0.0,5
789,1050551.2,-15967.47824,0.0,5
1180,1050485.5999999999,-15966.481119999999,0.0,5
1199,1050420.0,-15965.484,0.0,5
1401,1049501.5999999999,-15951.524319999999,0.0,5
20,1048812.7999999998,-15941.054559999997,0.0,5
363,1048058.3999999999,-15929.587679999999,0.0,5
944,1047894.3999999999,-15927.094879999999,0.0,5
2051,1047533.5999999999,-15921.610719999999,0.0,5
1159,1046385.5999999999,-15904.161119999999,0.0,5
339,1045795.2,-15895.187039999999,0.0,5
1780,1045663.9999999999,-15893.192799999999,0.0,5
236,1045368.7999999999,-15888.705759999999,0.0,5
1373,1045171.9999999999,-15885.714399999999,0.0,5
1099,1044155.2,-15870.259039999999,0.0,5
72,1043892.7999999999,-15866.270559999999,0.0,5
1671,1043892.7999999999,-15866.270559999999,0.0,5
1641,1043531.9999999999,-15860.786399999999,0.0,5
716,1043400.7999999999,-15858.792159999999,0.0,5
1368,1042744.7999999999,-15848.82096,0.0,5
1164,1042547.9999999999,-15845.8296,0.0,5
137,1042449.5999999999,-15844.333919999997,0.0,5
821,1041891.9999999999,-15835.8584,0.0,5
2061,1041727.9999999999,-15833.3656,0.0,5
1775,1041170.3999999999,-15824.89008,0.0,5
1094,1040481.5999999999,-15814.420319999997,0.0,5
753,1040186.3999999999,-15809.93328,0.0,5
451,1039694.3999999999,-15802.45488,0.0,5
1405,1039563.2,-15800.46064,0.0,5
1521,1038743.2,-15787.99664,0.0,5
457,1038546.3999999999,-15785.00528,0.0,5
2066,1038382.3999999999,-15782.51248,0.0,5
1918,1037496.7999999999,-15769.05136,0.0,5
368,1037299.9999999999,-15766.059999999998,0.0,5
429,1036939.2,-15760.57584,0.0,5
1734,1036906.3999999999,-15760.07728,0.0,5
1227,1036676.7999999999,-15756.58736,0.0,5
428,1036217.5999999999,-15749.607519999998,0.0,5
2071,1035364.7999999999,-15736.64496,0.0,5
600,1035364.7999999999,-15736.64496,0.0,5
118,1035036.7999999999,-15731.65936,0.0,5
154,1034839.9999999999,-15728.667999999998,0.0,5
698,1034675.9999999999,-15726.175199999998,0.0,5
1412,1034118.3999999999,-15717.69968,0.0,5
155,1033888.7999999999,-15714.20976,0.0,5
18,1033823.2,-15713.21264,0.0,5
1933,1033626.3999999999,-15710.22128,0.0,5
1328,1033363.9999999999,-15706.232799999998,0.0,5
889,1033101.5999999999,-15702.244319999998,0.0,5
1661,1032281.5999999999,-15689.780319999998,0.0,5
230,1032248.7999999999,-15689.28176,0.0,5
1770,1031789.5999999999,-15682.301919999998,0.0,5
1481,1031559.9999999999,-15678.811999999998,0.0,5
439,1031527.2,-15678.31344,0.0,5
225,1031494.3999999999,-15677.814879999998,0.0,5
685,1031330.3999999999,-15675.322079999998,0.0,5
2023,1030903.9999999999,-15668.840799999998,0.0,5
1133,1030805.5999999999,-15667.345119999998,0.0,5
262,1030739.9999999999,-15666.347999999998,0.0,5
1413,1030510.3999999999,-15662.858079999998,0.0,5
430,1030379.2,-15660.86384,0.0,5
219,1030346.3999999999,-15660.365279999998,0.0,5
1241,1030247.9999999999,-15658.869599999998,0.0,5
1990,1029329.5999999999,-15644.909919999998,0.0,5
1362,1028837.5999999999,-15637.431519999998,0.0,5
1800,1028050.3999999999,-15625.466079999998,0.0,5
755,1027755.2,-15620.97904,0.0,5
702,1027525.5999999999,-15617.489119999998,0.0,5
1881,1027230.3999999999,-15613.002079999998,0.0,5
2076,1027230.3999999999,-15613.002079999998,0.0,5
721,1027197.5999999999,-15612.503519999998,0.0,5
499,1027033.5999999999,-15610.010719999998,0.0,5
80,1026475.9999999999,-15601.535199999998,0.0,5
1654,1026147.9999999999,-15596.549599999998,0.0,5
1924,1025951.2,-15593.55824,0.0,5
1991,1025163.9999999999,-15581.592799999999,0.0,5
1946,1023622.3999999999,-15558.160479999999,0.0,5
82,1023425.5999999999,-15555.169119999999,0.0,5
1791,1022769.5999999999,-15545.197919999999,0.0,5
1548,1022343.2,-15538.716639999999,0.0,5
692,1022310.3999999999,-15538.218079999999,0.0,5
1296,1022047.9999999999,-15534.229599999999,0.0,5
622,1021916.7999999999,-15532.235359999999,0.0,5
1402,1021490.3999999999,-15525.754079999999,0.0,5
1173,1020899.9999999999,-15516.779999999999,0.0,5
916,1020473.5999999999,-15510.298719999999,0.0,5
1158,1020276.7999999999,-15507.307359999999,0.0,5
624,1019817.5999999999,-15500.327519999999,0.0,5
2000,1018899.2,-15486.367839999999,0.0,5
184,1018735.2,-15483.875039999999,0.0,5
9,1018702.3999999999,-15483.376479999999,0.0,5
199,1018571.2,-15481.382239999999,0.0,5
515,1018144.7999999999,-15474.900959999999,0.0,5
1369,1018079.2,-15473.903839999999,0.0,5
206,1017882.3999999999,-15470.912479999999,0.0,5
106,1017685.5999999999,-15467.921119999999,0.0,5
2081,1017685.5999999999,-15467.921119999999,0.0,5
1292,1016996.7999999999,-15457.45136,0.0,5
983,1016439.2,-15448.97584,0.0,5
634,1015815.9999999999,-15439.5032,0.0,5
1659,1015422.3999999999,-15433.52048,0.0,5
283,1015356.7999999999,-15432.52336,0.0,5
