tienda,vehiculo,distancia,cluster,cluster_ordenado,n_clientes_ruta,n_k (total clientes),centroide,c_k,p_k (entero óptimo),U_k (entero óptimo)
1,0,4.82842712474619,2,0,5,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
13,0,10.650281539872886,2,0,10,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
4,0,15.656854249492381,2,0,15,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
8,0,17.656854249492383,2,0,17,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
3,0,18.82842712474619,2,0,19,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
12,0,25.23606797749979,2,0,25,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
14,0,25.65685424949238,2,0,25,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
11,0,27.478708664619077,2,0,26,142,18.24905939749516,0.1285145027992617,29.361616161616162,1883.3685239144684
4,1,29.65685424949238,0,1,29,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
8,1,32.24264068711929,0,1,32,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
12,1,32.485281374238575,0,1,31,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
12,2,33.071067811865476,0,1,32,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
10,0,33.071067811865476,0,1,32,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
17,0,33.071067811865476,0,1,31,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
9,0,33.071067811865476,0,1,32,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
5,0,33.89949493661166,0,1,32,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
15,0,33.89949493661166,0,1,32,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
7,0,35.071067811865476,0,1,34,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
16,0,35.13556291411146,0,1,32,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
10,1,36.48528137423857,0,1,35,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
17,1,36.48528137423857,0,1,35,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
2,0,36.828427124746185,0,1,37,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
14,1,37.071067811865476,0,1,36,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
6,0,37.65685424949238,0,1,36,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
17,2,38.48528137423857,0,1,37,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
16,1,38.48528137423857,0,1,37,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
6,1,39.07106781186547,0,1,38,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
15,1,39.656854249492376,0,1,38,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
7,1,40.142135623730944,0,1,36,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
13,1,40.727922061357845,0,1,38,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
5,1,41.31370849898475,0,1,39,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
9,1,41.31370849898475,0,1,39,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
16,2,41.47870866461907,0,1,39,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
3,1,42.142135623730944,0,1,39,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
8,2,42.71477664211886,0,1,40,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
6,2,43.47870866461908,0,1,40,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
3,2,43.47870866461908,0,1,40,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
4,2,43.951532750363846,0,1,38,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
9,2,44.54977647648454,0,1,41,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
9,3,47.255832815336866,0,1,40,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
8,3,47.46941344953363,0,1,42,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
7,2,47.696383925166536,0,1,41,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
10,2,48.54977647648455,0,1,44,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
1,3,49.31370849898475,0,1,46,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
1,1,49.34166020071207,0,1,41,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
7,3,49.53583363819519,0,1,40,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
1,2,50.23334547203385,0,1,45,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
9,4,52.27357041880592,0,1,41,1487,40.29653529916989,0.027099216744566168,29.361616161616162,19790.737399965845
