id_zona,distancia,p_k (entero óptimo),U_k (entero óptimo),dia
1406,10.65,0,-10617.420705882354,1
1435,10.65,0,-10617.420705882354,1
1436,10.65,0,-10617.420705882354,1
1437,10.65,0,-10617.420705882354,1
1464,10.65,0,-10617.420705882354,1
1465,10.65,0,-10617.420705882354,1
1466,10.65,0,-10617.420705882354,1
1467,10.65,0,-10617.420705882354,1
1493,10.65,0,-10617.420705882354,1
1494,10.65,0,-10617.420705882354,1
1495,10.65,0,-10617.420705882354,1
1496,10.65,0,-10617.420705882354,1
1497,10.65,0,-10617.420705882354,1
1522,10.65,0,-10617.420705882354,1
1523,10.65,0,-10617.420705882354,1
1524,10.65,0,-10617.420705882354,1
1525,10.65,0,-10617.420705882354,1
1526,10.65,0,-10617.420705882354,1
1527,10.65,0,-10617.420705882354,1
1551,10.65,0,-10617.420705882354,1
1552,10.65,0,-10617.420705882354,1
1553,10.65,0,-10617.420705882354,1
1554,10.65,0,-10617.420705882354,1
1555,10.65,0,-10617.420705882354,1
1556,10.65,0,-10617.420705882354,1
1557,10.65,0,-10617.420705882354,1
1582,10.65,0,-10617.420705882354,1
1583,10.65,0,-10617.420705882354,1
1584,10.65,0,-10617.420705882354,1
1585,10.65,0,-10617.420705882354,1
1586,10.65,0,-10617.420705882354,1
1587,10.65,0,-10617.420705882354,1
1588,10.65,0,-10617.420705882354,1
1612,10.65,0,-10617.420705882354,1
1613,10.65,0,-10617.420705882354,1
1614,10.65,0,-10617.420705882354,1
1615,10.65,0,-10617.420705882354,1
1616,10.65,0,-10617.420705882354,1
1617,10.65,0,-10617.420705882354,1
1643,10.65,0,-10617.420705882354,1
1644,10.65,0,-10617.420705882354,1
1645,10.65,0,-10617.420705882354,1
1646,10.65,0,-10617.420705882354,1
1674,10.65,0,-10617.420705882354,1
1675,10.65,0,-10617.420705882354,1
22,12.0,0,-10617.420705882354,1
23,12.0,0,-10617.420705882354,1
24,12.0,0,-10617.420705882354,1
25,12.0,0,-10617.420705882354,1
26,12.0,0,-10617.420705882354,1
27,12.0,0,-10617.420705882354,1
28,12.0,0,-10617.420705882354,1
29,12.0,0,-10617.420705882354,1
30,12.0,0,-10617.420705882354,1
52,12.0,0,-10617.420705882354,1
53,12.0,0,-10617.420705882354,1
54,12.0,0,-10617.420705882354,1
55,12.0,0,-10617.420705882354,1
56,12.0,0,-10617.420705882354,1
57,12.0,0,-10617.420705882354,1
58,12.0,0,-10617.420705882354,1
59,12.0,0,-10617.420705882354,1
60,12.0,0,-10617.420705882354,1
82,12.0,0,-10617.420705882354,1
83,12.0,0,-10617.420705882354,1
84,12.0,0,-10617.420705882354,1
85,12.0,0,-10617.420705882354,1
86,12.0,0,-10617.420705882354,1
87,12.0,0,-10617.420705882354,1
88,12.0,0,-10617.420705882354,1
89,12.0,0,-10617.420705882354,1
90,12.0,0,-10617.420705882354,1
112,12.0,0,-10617.420705882354,1
113,12.0,0,-10617.420705882354,1
114,12.0,0,-10617.420705882354,1
115,12.0,0,-10617.420705882354,1
116,12.0,0,-10617.420705882354,1
117,12.0,0,-10617.420705882354,1
118,12.0,0,-10617.420705882354,1
119,12.0,0,-10617.420705882354,1
120,12.0,0,-10617.420705882354,1
142,12.0,0,-10617.420705882354,1
143,12.0,0,-10617.420705882354,1
144,12.0,0,-10617.420705882354,1
145,12.0,0,-10617.420705882354,1
146,12.0,0,-10617.420705882354,1
147,12.0,0,-10617.420705882354,1
148,12.0,0,-10617.420705882354,1
149,12.0,0,-10617.420705882354,1
150,12.0,0,-10617.420705882354,1
172,12.0,0,-10617.420705882354,1
173,12.0,0,-10617.420705882354,1
174,12.0,0,-10617.420705882354,1
175,12.0,0,-10617.420705882354,1
176,12.0,0,-10617.420705882354,1
177,12.0,0,-10617.420705882354,1
178,12.0,0,-10617.420705882354,1
179,12.0,0,-10617.420705882354,1
180,12.0,0,-10617.420705882354,1
202,12.0,0,-10617.420705882354,1
203,12.0,0,-10617.420705882354,1
204,12.0,0,-10617.420705882354,1
205,12.0,0,-10617.420705882354,1
206,12.0,0,-10617.420705882354,1
207,12.0,0,-10617.420705882354,1
208,12.0,0,-10617.420705882354,1
209,12.0,0,-10617.420705882354,1
210,12.0,0,-10617.420705882354,1
232,12.0,0,-10617.420705882354,1
233,12.0,0,-10617.420705882354,1
234,12.0,0,-10617.420705882354,1
235,12.0,0,-10617.420705882354,1
236,12.0,0,-10617.420705882354,1
237,12.0,0,-10617.420705882354,1
238,12.0,0,-10617.420705882354,1
239,12.0,0,-10617.420705882354,1
240,12.0,0,-10617.420705882354,1
262,12.0,0,-10617.420705882354,1
263,12.0,0,-10617.420705882354,1
264,12.0,0,-10617.420705882354,1
265,12.0,0,-10617.420705882354,1
266,12.0,0,-10617.420705882354,1
267,12.0,0,-10617.420705882354,1
268,12.0,0,-10617.420705882354,1
269,12.0,0,-10617.420705882354,1
