id_zona,demanda,tienda
29,29698,1
30,48654,1
52,49058,1
53,32310,1
54,33448,1
55,29680,1
56,31746,1
57,41540,1
58,42703,1
59,38790,1
60,46455,1
82,53260,1
83,44455,1
84,51469,1
85,31475,1
86,37573,1
87,48983,1
88,37496,1
89,31570,1
90,54611,1
112,31053,1
113,29273,1
114,49405,1
115,48246,1
116,49331,1
117,51438,1
118,51280,1
119,43626,1
120,51407,1
142,33741,1
143,33254,1
144,40044,1
145,47871,1
148,41270,1
149,35277,1
150,49919,1
173,50217,1
179,50191,1
180,45339,1
210,34688,1
240,40803,1
270,32841,1
300,31650,1
328,45348,1
329,40991,1
330,44919,1
359,30103,1
360,49964,1
389,38268,1
390,29883,1
1289,52465,2
1290,52493,2
1317,47680,2
1318,41410,2
1319,48040,2
1320,49787,2
1347,38677,2
1348,44181,2
1349,50045,2
1350,51544,2
1377,32782,2
1378,36646,2
1379,40328,2
1380,41151,2
1407,31645,2
1408,30689,2
1409,43076,2
1334,35447,3
1335,30817,3
1336,33116,3
1337,39429,3
1346,54738,3
1364,32152,3
1365,32213,3
1366,42002,3
1367,44783,3
1375,40133,3
1376,39854,3
1394,43684,3
1395,41138,3
1396,31238,3
1397,49615,3
1398,52772,3
1399,29250,3
1404,49472,3
1405,53552,3
1425,41860,3
1426,49887,3
1427,38218,3
1428,46312,3
1434,38848,3
1457,39266,3
1458,37013,3
1459,34210,3
1460,53081,3
1461,41461,3
1462,54176,3
1463,39208,3
1488,44540,3
1489,47778,3
1490,48823,3
1491,49082,3
1492,48839,3
1520,50050,3
1521,51671,3
1949,46349,4
1950,38218,4
1973,50238,4
1974,38463,4
1975,48188,4
1976,45987,4
1977,34408,4
1978,39581,4
1979,31220,4
1980,34272,4
2003,39308,4
2004,33160,4
2005,43642,4
2006,32431,4
2007,48520,4
2008,39812,4
2009,47575,4
2010,42893,4
2033,43472,4
2034,37726,4
2035,35377,4
2036,50349,4
2037,30971,4
2038,30063,4
2039,36508,4
2040,42983,4
2063,39912,4
2064,49788,4
2065,38872,4
2066,53444,4
2067,46839,4
2068,41437,4
2069,49227,4
2070,41928,4
2092,38369,4
2093,46485,4
2094,36545,4
2095,42453,4
2096,40483,4
2097,29902,4
2098,34914,4
2099,35473,4
2100,44548,4
1898,48745,5
1899,32388,5
1902,51462,5
1921,35693,5
1922,42434,5
1923,34867,5
1924,52302,5
1925,51091,5
1926,37095,5
1927,37963,5
1928,42064,5
1929,51246,5
1932,30128,5
1933,52342,5
1934,36249,5
1935,34351,5
1936,44262,5
1937,30714,5
1951,45296,5
1952,50613,5
1953,33712,5
1954,53639,5
1955,30814,5
1956,50296,5
1957,47406,5
1958,45313,5
1959,30839,5
1962,53699,5
1963,41787,5
1964,44102,5
1965,33441,5
1966,31267,5
1967,50922,5
1981,37888,5
1982,46172,5
1983,34310,5
1984,44666,5
1985,49851,5
1986,32284,5
1987,49868,5
1988,45144,5
1989,35784,5
1990,52798,5
1991,51101,5
1992,44192,5
1993,35472,5
1994,40170,5
1995,32065,5
1996,48523,5
1997,40545,5
2011,36592,5
2012,38035,5
2013,52762,5
2014,37834,5
2015,33642,5
2016,49025,5
2017,43382,5
2018,45319,5
2019,48235,5
2020,43951,5
2021,31105,5
2022,37640,5
2023,51404,5
2024,36995,5
2025,46810,5
2026,48404,5
2027,38530,5
2028,31972,5
2041,51251,5
2042,49692,5
2043,42622,5
2044,36594,5
2045,49853,5
2046,34497,5
2047,38135,5
2048,42269,5
2049,45345,5
2050,31737,5
2051,52644,5
2052,53304,5
2053,45829,5
2054,51600,5
2055,42550,5
2056,31899,5
2057,52476,5
2058,32434,5
2071,51486,5
2072,50615,5
2073,47095,5
2074,45457,5
2075,49090,5
2076,51872,5
2077,38375,5
2078,37447,5
2079,41204,5
2080,30289,5
2081,50424,5
2082,34675,5
2083,38873,5
2084,34312,5
2085,49145,5
2086,33160,5
2087,30388,5
2088,34985,5
15,42983,6
16,46796,6
43,47096,6
44,35342,6
45,30835,6
74,31850,6
75,37247,6
104,34023,6
130,31473,6
131,34495,6
132,47497,6
133,36606,6
134,41559,6
161,30173,6
162,32907,6
163,43696,6
191,42789,6
192,43563,6
220,33205,6
221,31907,6
222,45688,6
244,40209,6
246,40890,6
248,30845,6
249,39240,6
250,54301,6
251,50738,6
271,47548,6
272,38486,6
273,49279,6
274,50025,6
276,52067,6
277,42709,6
278,32706,6
279,37964,6
280,44021,6
281,45454,6
301,35747,6
302,36095,6
303,44907,6
304,44606,6
305,30160,6
306,32726,6
307,49619,6
308,37359,6
309,35189,6
310,29657,6
331,31347,6
332,44889,6
333,47161,6
334,41230,6
335,32019,6
336,30853,6
337,31996,6
338,29065,6
339,52799,6
361,32515,6
362,48281,6
363,53807,6
364,29407,6
365,47386,6
366,41251,6
367,44270,6
368,53424,6
369,43326,6
391,30857,6
392,43506,6
393,42793,6
394,46702,6
395,41458,6
