tienda,rutas,carga,distancia,carga_total,n_camiones_utilizados,n_camiones_disponibles
1,"[[322, 323, 324, 25, 26, 27, 28, 325, 326, 356, 386, 416, 445, 444, 415, 414, 385, 355, 354, 322], [322, 293, 264, 265, 235, 204, 24, 205, 236, 206, 237, 207, 177, 208, 238, 268, 267, 266, 296, 295, 294, 322], [322, 352, 382, 412, 442, 472, 473, 443, 413, 384, 383, 353, 263, 233, 234, 203, 22, 172, 202, 232, 262, 292, 322], [322, 174, 23, 175, 176, 146, 147, 178, 209, 239, 269, 299, 298, 297, 327, 357, 358, 388, 418, 417, 387, 322]]","[80694397, 87647567, 89166557, 92900915]","[39.96889079465052, 34.80411188203658, 33.91118965504441, 39.08294105974248]",350409436,4,4
2,"[[1439, 1438, 1468, 1498, 1528, 1558, 1559, 1589, 1590, 1560, 1530, 1529, 1499, 1500, 1470, 1469, 1288, 1410, 1440, 1439]]",[80225240],[27.554898485297798],80225240,1,1
3,"[[1371, 1370, 1400, 1308, 1307, 1306, 1305, 1304, 1429, 1430, 1431, 1432, 1433, 1403, 1316, 1287, 1286, 1285, 1402, 1401, 1371], [1371, 1310, 1281, 1256, 1255, 1254, 1253, 1252, 1251, 1280, 1279, 1278, 1309, 1338, 1368, 1369, 1339, 1340, 1371], [1371, 1341, 1311, 1312, 1343, 1313, 1282, 1283, 1314, 1284, 1224, 1225, 1315, 1345, 1344, 1374, 1373, 1372, 1342, 1371]]","[83553859, 84031988, 84071333]","[35.66552976238921, 25.40615530295805, 23.65685424949238]",251657180,3,3
4,"[[1680, 1919, 1918, 1948, 1947, 1946, 1945, 1884, 1914, 1944, 1943, 1913, 1883, 1678, 1679, 1649, 1619, 1620, 1650, 1680], [1680, 1710, 1740, 1770, 1800, 1830, 1860, 1890, 1920, 1889, 1859, 1829, 1828, 1855, 1798, 1799, 1769, 1739, 1709, 1680], [1680, 1648, 1618, 1647, 1677, 1707, 1737, 1706, 1705, 1735, 1765, 1795, 1796, 1797, 1766, 1736, 1767, 1768, 1738, 1708, 1680], [1680, 1676, 1704, 1734, 1764, 1794, 1824, 1854, 1825, 1826, 1857, 1856, 1886, 1885, 1915, 1916, 1917, 1887, 1888, 1858, 1827, 1680]]","[82718444, 85110986, 88501667, 92535527]","[34.900650992840966, 24.59625606037856, 24.12899020449196, 31.309660559464376]",348866624,4,4
5,"[[1660, 1599, 1654, 1683, 1682, 1832, 1863, 1862, 1891, 1861, 1831, 1801, 1771, 1741, 1711, 1681, 1653, 1597, 1568, 1569, 1570, 1540, 1541, 1512, 1542, 1573, 1603, 1572, 1571, 1601, 1600, 1630, 1660], [1660, 1661, 1662, 1692, 1693, 1723, 1752, 1753, 1782, 1809, 1892, 1893, 1894, 1868, 1869, 1839, 1812, 1813, 1814, 1815, 1785, 1755, 1784, 1783, 1754, 1724, 1694, 1664, 1663, 1633, 1602, 1632, 1631, 1660], [1660, 1659, 1658, 1688, 1687, 1626, 1625, 1624, 1686, 1716, 1746, 1715, 1745, 1775, 1744, 1743, 1773, 1803, 1834, 1865, 1866, 1835, 1804, 1774, 1805, 1806, 1807, 1776, 1777, 1747, 1717, 1718, 1689, 1660], [1660, 1629, 1628, 1598, 1596, 1627, 1657, 1656, 1655, 1685, 1684, 1714, 1713, 1712, 1742, 1772, 1802, 1833, 1864, 1895, 1896, 1897, 1867, 1836, 1837, 1838, 1808, 1778, 1748, 1749, 1719, 1690, 1691, 1660], [1660, 1720, 1750, 1779, 1780, 1810, 1840, 1870, 1900, 1930, 1960, 1961, 1931, 1901, 1871, 1872, 1873, 1874, 1903, 1904, 1905, 1906, 1876, 1875, 1846, 1845, 1844, 1843, 1842, 1841, 1811, 1781, 1751, 1722, 1721, 1660]]","[141645259, 142377355, 142588619, 147195710, 152680647]","[49.22893165374532, 49.54871542605689, 40.20663072597693, 37.31370849898476, 38.89292222699217]",726487590,5,5
6,"[[34, 4, 3, 33, 32, 62, 92, 93, 63, 35, 5, 6, 12, 13, 36, 66, 65, 64, 34], [34, 2, 1, 31, 61, 91, 121, 151, 152, 122, 123, 124, 154, 184, 155, 125, 96, 95, 94, 34], [34, 7, 8, 9, 10, 39, 40, 41, 42, 72, 73, 103, 102, 101, 71, 70, 100, 99, 69, 68, 38, 34], [34, 37, 11, 67, 97, 98, 128, 129, 159, 160, 190, 219, 218, 189, 188, 187, 158, 157, 156, 127, 126, 34], [34, 153, 183, 182, 181, 212, 211, 241, 242, 243, 213, 214, 215, 245, 275, 247, 217, 216, 186, 185, 14, 34]]","[81487746, 79975240, 92757856, 94543504, 95621967]","[30.307135789365265, 22.06, 26.576491222541474, 33.85764710557361, 44.6399166130034]",444386313,5,5
7,"[[535, 565, 566, 567, 570, 506, 505, 534, 564, 563, 533, 593, 592, 591, 590, 588, 502, 503, 504, 535], [535, 474, 475, 476, 446, 447, 478, 448, 479, 449, 419, 420, 450, 480, 510, 539, 509, 508, 477, 507, 535], [535, 562, 532, 531, 561, 560, 559, 589, 619, 649, 680, 711, 712, 713, 714, 744, 715, 685, 655, 625, 535], [535, 594, 595, 596, 597, 626, 627, 628, 657, 687, 688, 659, 658, 629, 599, 540, 569, 598, 568, 538, 537, 536, 535]]","[83476832, 88184307, 88024295, 91396727]","[31.30056307974577, 24.128990204491963, 25.404918347287666, 26.957417329238154]",351082161,4,4
8,"[[1385, 1355, 1356, 1332, 1333, 1363, 1393, 1362, 1361, 1360, 1386, 1384, 1354, 1353, 1383, 1413, 1414, 1415, 1445, 1385], [1385, 1324, 1325, 1326, 1327, 1357, 1387, 1388, 1389, 1390, 1391, 1303, 1392, 1422, 1421, 1420, 1419, 1448, 1418, 1417, 1416, 1385], [1385, 1352, 1382, 1381, 1411, 1441, 1471, 1502, 1501, 1531, 1532, 1533, 1534, 1504, 1503, 1472, 1473, 1442, 1412, 1423, 1385], [1385, 1295, 1296, 1297, 1328, 1298, 1267, 1268, 1299, 1269, 1300, 1270, 1271, 1302, 1301, 1331, 1330, 1329, 1359, 1358, 1385]]","[81515471, 91744326, 89135432, 90978077]","[29.620081718288976, 27.83232403787835, 40.46717609558622, 26.233345472033854]",353373306,4,4
9,"[[319, 289, 258, 227, 197, 19, 196, 225, 195, 224, 254, 255, 226, 256, 257, 287, 288, 319], [319, 318, 347, 317, 316, 346, 376, 375, 405, 436, 437, 406, 407, 377, 378, 348, 349, 350, 320, 21, 319], [319, 228, 198, 168, 18, 167, 166, 165, 194, 164, 193, 223, 253, 252, 282, 283, 284, 285, 286, 319], [319, 290, 260, 259, 229, 20, 230, 231, 261, 291, 321, 351, 380, 381, 411, 441, 471, 501, 440, 410, 409, 379, 319], [319, 199, 169, 139, 138, 137, 136, 135, 105, 106, 17, 107, 108, 109, 110, 140, 141, 171, 170, 200, 201, 319]]","[82351417, 87382846, 91522421, 92561030, 90972337]","[30.5180406270747, 39.490555335425746, 32.252001958675734, 37.13556291411146, 31.634413615167958]",444790051,5,5
10,"[[1606, 1575, 1576, 1546, 1547, 1578, 1580, 1581, 1611, 1642, 1673, 1672, 1641, 1608, 1638, 1637, 1607, 1577, 1606], [1606, 1605, 1635, 1665, 1695, 1725, 1726, 1756, 1786, 1816, 1817, 1787, 1788, 1702, 1758, 1757, 1727, 1697, 1696, 1666, 1636, 1606], [1606, 1548, 1518, 1519, 1550, 1549, 1579, 1609, 1610, 1640, 1670, 1671, 1701, 1700, 1699, 1698, 1669, 1639, 1668, 1667, 1606], [1606, 1545, 1515, 1516, 1517, 1487, 1486, 1456, 1455, 1424, 1454, 1483, 1484, 1485, 1514, 1513, 1543, 1544, 1574, 1604, 1634, 1703, 1606]]","[83156763, 90205894, 89875485, 90329510]","[23.647559034406953, 28.47213595499958, 24.307135789365265, 39.31402622777587]",353567652,4,4
