id_zona,p_k (entero óptimo),A_k(P_i),U_k (entero óptimo),dia
1290,1090567.2,-16575.721439999998,0.0,20
1159,1090370.4,-16572.730079999998,0.0,20
1661,1089616.0,-16561.263199999998,0.0,20
1713,1086172.0,-16508.914399999998,0.0,20
1309,1085024.0,-16491.464799999998,0.0,20
1800,1084564.7999999998,-16484.484959999994,0.0,20
1954,1084171.2,-16478.502239999998,0.0,20
1749,1080300.7999999998,-16419.672159999995,0.0,20
743,1078300.0,-16389.26,0.0,20
94,1077972.0,-16384.2744,0.0,20
1328,1076988.0,-16369.3176,0.0,20
1541,1076856.7999999998,-16367.323359999997,0.0,20
488,1071904.0,-16292.0408,0.0,20
90,1070460.7999999998,-16270.104159999997,0.0,20
1296,1067869.5999999999,-16230.717919999997,0.0,20
1652,1065573.5999999999,-16195.818719999997,0.0,20
1962,1065508.0,-16194.821600000001,0.0,20
230,1064819.2,-16184.35184,0.0,20
1362,1062720.0,-16152.444,0.0,20
2076,1061375.2,-16132.00304,0.0,20
1990,1061244.0,-16130.0088,0.0,20
1180,1058587.2,-16089.62544,0.0,20
1094,1058193.5999999999,-16083.642719999998,0.0,20
275,1057734.4,-16076.662879999998,0.0,20
622,1057570.4,-16074.170079999998,0.0,20
72,1057308.0,-16070.1816,0.0,20
945,1057176.7999999998,-16068.187359999998,0.0,20
219,1056783.2,-16062.20464,0.0,20
2052,1056127.2,-16052.23344,0.0,20
457,1055897.5999999999,-16048.743519999998,0.0,20
992,1055635.2,-16044.75504,0.0,20
1402,1055602.4,-16044.256479999998,0.0,20
1481,1055372.7999999998,-16040.766559999998,0.0,20
1565,1054618.4,-16029.299679999998,0.0,20
838,1054388.7999999998,-16025.809759999998,0.0,20
1752,1054257.5999999999,-16023.815519999998,0.0,20
1900,1054159.2,-16022.31984,0.0,20
1405,1053208.0,-16007.8616,0.0,20
1918,1052945.5999999999,-16003.873119999998,0.0,20
1077,1052847.2,-16002.37744,0.0,20
692,1052814.4,-16001.878879999998,0.0,20
597,1051961.5999999999,-15988.916319999998,0.0,20
363,1051338.4,-15979.443679999998,0.0,20
1597,1050452.7999999998,-15965.982559999997,0.0,20
1462,1049895.2,-15957.50704,0.0,20
