dia,distancia_total
1,2459.9265783987075
2,2446.0899999999992
3,2459.896578398708
4,2449.55823276104
5,2447.9965783987072
6,2458.3271856716037
7,2455.3559344611126
8,2459.085934461112
9,2456.695934461112
10,2446.4
11,2456.22823276104
12,2454.576578398708
13,2455.4196973398075
14,2464.267185671604
15,2456.066578398708
16,2457.766578398708
17,2455.9265783987075
18,2459.316578398708
19,2461.4775888234444
20,2449.316578398708
21,2460.4859344611123
22,2449.067588823445
23,2460.165934461113
24,2452.876578398708
25,2432.259999999999
26,2450.348232761039
27,2455.9059344611123
28,2461.9759344611125
29,2457.605934461112
30,2459.566578398708
31,2453.6765783987075
32,2459.278840033935
33,2453.0159344611125
34,2446.82
35,2463.297588823445
36,2454.4965783987072
37,2455.2565783987075
38,2460.46823276104
39,2460.527185671604
40,2458.066578398708
