kpi,promedio,ic_95_inf,ic_95_sup
distancias_promedio_mejoradas,2441.1314095284065,2440.4739080367362,2441.7889110200767
distancias_promedio_cb,2720.320597387749,2717.7018326855823,2722.9393620899154
demanda_online_insatisfecha_cw,0.0,,
demanda_online_insatisfecha_cb,0.0,,
utilidad_de_entregas,12581.587194969063,12365.943571363827,12797.230818574299
utilidad_total,-172226935.6984354,-172937650.72835407,-171516220.66851673
utilidad_de_entregas_cb1,-50215.85345467116,-50390.27033531792,-50041.4365740244
utilidad_de_entregas_cb2,0.0,,
utilidad_total_cb1,-365903477.99919367,-367161327.69976646,-364645628.2986209
utilidad_total_cb2,-365853262.1457391,-367111116.8992187,-364595407.3922595
