id_zona,demanda,tienda
1506,25544,8
1507,14662,8
1508,11250,8
1509,12050,8
1510,20756,8
1511,30751,8
1538,8973,8
1539,29073,8
253,25065,9
282,14683,9
311,12725,9
312,9300,9
340,22245,9
341,21452,9
370,19112,9
399,28561,9
400,10156,9
429,30886,9
430,32491,9
458,22159,9
459,16791,9
460,13630,9
461,23095,9
471,10769,9
489,8515,9
490,22145,9
491,16328,9
500,13469,9
501,19407,9
521,13371,9
522,27605,9
528,19684,9
529,24309,9
530,8860,9
553,22128,9
554,20917,9
557,11485,9
558,20247,9
585,30495,9
586,26028,9
587,28750,9
