tienda,rutas,carga,distancia,carga_total,n_camiones_utilizados,n_camiones_disponibles
1,"[[322, 352, 382, 412, 442, 472, 473, 443, 413, 383, 353, 240, 210, 149, 180, 150, 119, 120, 90, 59, 60, 30, 29, 28, 27, 26, 52, 82, 112, 142, 322], [322, 292, 263, 233, 172, 202, 232, 262, 294, 295, 265, 235, 236, 206, 175, 24, 25, 176, 177, 207, 237, 267, 266, 296, 326, 356, 386, 385, 355, 325, 324, 323, 322], [322, 293, 264, 234, 204, 205, 174, 144, 23, 145, 146, 147, 178, 208, 238, 268, 298, 297, 327, 357, 358, 388, 418, 417, 387, 416, 445, 444, 415, 414, 384, 354, 322], [322, 203, 173, 143, 113, 83, 22, 53, 54, 55, 56, 57, 58, 89, 88, 87, 86, 85, 84, 114, 115, 116, 117, 118, 148, 179, 209, 239, 269, 299, 329, 328, 322]]","[61356275, 60057597, 66540200, 67288456]","[47.66407203853529, 43.498602106931344, 42.73080449472869, 42.60181429023674]",255242528,4,4
2,"[[1439, 1378, 1348, 1349, 1350, 1319, 1320, 1290, 1289, 1288, 1318, 1317, 1347, 1377, 1438, 1468, 1498, 1528, 1558, 1559, 1589, 1590, 1560, 1530, 1529, 1499, 1500, 1470, 1469, 1439]]",[61086953],[31.886349517372675],61086953,1,1
3,"[[1371, 1399, 1368, 1337, 1367, 1397, 1427, 1426, 1396, 1366, 1336, 1335, 1365, 1395, 1425, 1394, 1364, 1334, 1306, 1307, 1312, 1282, 1283, 1314, 1284, 1315, 1345, 1344, 1313, 1343, 1342, 1371], [1371, 1340, 1310, 1280, 1279, 1278, 1304, 1308, 1338, 1309, 1339, 1369, 1370, 1400, 1430, 1429, 1398, 1428, 1458, 1459, 1460, 1461, 1462, 1432, 1431, 1401, 1371], [1371, 1341, 1305, 1311, 1281, 1251, 1252, 1253, 1254, 1285, 1255, 1224, 1225, 1256, 1287, 1286, 1316, 1346, 1376, 1375, 1405, 1434, 1404, 1374, 1373, 1403, 1402, 1372, 1371]]","[60062211, 60225590, 60063560]","[40.37163089161123, 33.365746312736945, 40.153830342163694]",180351361,3,3
4,"[[1680, 1650, 1620, 1619, 1618, 1647, 2033, 2092, 2093, 2094, 2063, 2064, 2095, 2096, 2065, 2034, 2035, 2066, 2067, 2036, 2037, 2068, 2069, 2038, 2039, 2070, 2040, 1648, 1649, 1680], [1680, 1679, 1678, 1708, 1707, 1677, 1676, 1706, 1705, 1704, 1734, 1764, 1794, 1824, 1855, 2004, 1886, 1887, 1888, 1889, 1859, 1860, 1830, 1800, 1770, 1740, 1710, 1680], [1680, 1709, 1738, 1767, 1766, 1796, 1797, 1798, 1768, 1737, 1736, 1735, 1765, 1795, 1826, 1825, 1856, 2005, 2006, 2007, 2010, 1857, 1858, 1827, 1828, 1829, 1799, 1769, 1739, 1680], [1680, 1854, 1885, 1884, 1883, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1949, 1948, 1947, 1946, 1945, 1944, 1943, 1973, 2003, 1974, 1975, 1976, 1977, 1978, 2008, 2009, 1979, 1980, 1950, 1920, 1890, 1680]]","[60830957, 64115132, 60149725, 65413092]","[59.54683411030517, 34.98536903096546, 44.06553432254954, 47.31370849898477]",250508906,4,4
5,"[[1660, 1630, 1601, 1600, 1570, 1540, 1541, 1512, 1542, 1573, 1603, 1572, 1571, 1602, 1633, 1663, 1664, 1694, 1724, 1753, 1752, 1723, 1693, 1692, 1662, 1632, 1631, 1660], [1660, 1599, 1569, 1568, 1597, 1596, 1626, 1656, 1655, 1685, 1684, 1714, 1713, 1712, 1742, 1772, 1802, 1833, 1864, 1895, 1896, 1897, 1898, 1899, 1900, 1930, 1960, 1961, 1931, 1901, 1871, 1872, 1873, 1874, 1844, 1843, 1842, 1841, 1811, 1812, 1813, 1784, 1783, 1782, 1781, 1751, 1722, 1721, 1691, 1661, 1660], [1660, 1659, 1658, 1688, 1718, 1717, 1747, 1746, 1776, 1777, 1808, 1807, 1806, 1805, 1774, 1804, 1835, 1836, 1837, 1838, 1839, 1809, 1779, 1778, 1748, 1749, 1719, 1689, 1629, 1628, 1598, 1627, 1657, 1687, 1686, 1716, 1715, 1745, 1775, 1744, 1743, 1773, 1803, 1834, 1865, 1866, 1867, 1868, 1869, 1870, 1840, 1810, 1780, 1750, 1720, 1690, 1660], [1660, 1625, 1624, 1654, 1653, 1683, 1682, 1681, 1711, 1741, 1771, 1801, 1831, 1832, 1863, 1894, 1893, 1892, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1959, 1958, 1957, 1956, 1955, 1954, 1953, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1962, 1963, 1964, 1965, 1966, 1967, 1937, 1936, 1935, 1934, 1933, 1932, 1902, 1903, 1904, 1905, 1906, 1876, 1875, 1846, 1845, 1815, 1814, 1785, 1755, 1754, 1660], [1660, 1862, 1861, 1891, 1922, 1921, 1952, 1951, 1982, 1981, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2049, 2048, 2047, 2046, 2045, 2044, 2043, 2042, 2041, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2058, 2057, 2056, 2055, 2054, 2053, 2052, 2051, 2050, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 1997, 1996, 1995, 1994, 1993, 1660]]","[52258556, 105316753, 116064849, 139849596, 139941193]","[30.73, 53.72, 59.9, 78.17, 90.69]",553430947,5,5
6,"[[34, 33, 32, 62, 63, 3, 2, 1, 31, 61, 92, 123, 301, 331, 332, 302, 303, 333, 305, 306, 307, 308, 309, 310, 280, 281, 251, 94, 34], [34, 4, 5, 6, 66, 36, 37, 38, 39, 40, 41, 42, 72, 73, 103, 222, 102, 101, 71, 70, 69, 68, 97, 67, 96, 95, 65, 35, 34], [34, 91, 121, 122, 153, 152, 151, 182, 183, 184, 214, 244, 245, 246, 247, 248, 221, 218, 217, 216, 215, 185, 186, 187, 158, 157, 156, 155, 154, 34], [34, 7, 8, 9, 10, 11, 12, 13, 43, 44, 14, 15, 16, 45, 75, 74, 104, 134, 133, 163, 192, 162, 132, 161, 131, 130, 100, 99, 128, 98, 127, 126, 125, 124, 64, 34], [34, 93, 181, 211, 212, 213, 243, 242, 241, 271, 272, 273, 274, 304, 275, 276, 277, 278, 279, 250, 249, 220, 219, 190, 191, 160, 189, 188, 159, 129, 34]]","[61045580, 61394268, 66717831, 68502073, 68603629]","[44.99137568962537, 35.95153275036385, 40.01046962275165, 40.23334547203386, 41.57206608442075]",326263381,5,5
7,"[[535, 657, 690, 720, 719, 718, 717, 686, 716, 743, 713, 683, 682, 652, 651, 712, 742, 711, 741, 740, 710, 709, 679, 648, 621, 622, 565, 566, 536, 535], [535, 564, 563, 562, 617, 618, 593, 594, 595, 596, 597, 626, 627, 628, 598, 568, 567, 537, 507, 506, 504, 534, 533, 502, 503, 474, 475, 476, 505, 535], [535, 532, 531, 561, 560, 559, 588, 589, 619, 649, 680, 681, 650, 620, 590, 591, 592, 623, 653, 654, 684, 714, 744, 745, 715, 685, 655, 625, 624, 535], [535, 446, 447, 448, 478, 509, 479, 449, 419, 420, 450, 480, 510, 540, 570, 600, 630, 660, 689, 688, 687, 656, 658, 659, 629, 599, 569, 539, 538, 508, 477, 535]]","[60302372, 61309795, 63229301, 63987220]","[44.04322887558778, 40.555252132592756, 34.81913190966076, 37.647559034406946]",248828688,4,4
8,"[[1385, 1414, 1443, 1474, 1444, 1413, 1412, 1382, 1381, 1411, 1441, 1442, 1473, 1503, 1504, 1505, 1506, 1476, 1477, 1451, 1452, 1453, 1423, 1393, 1363, 1446, 1445, 1415, 1385], [1385, 1386, 1387, 1417, 1418, 1388, 1359, 1389, 1390, 1391, 1361, 1360, 1330, 1331, 1332, 1303, 1333, 1392, 1422, 1421, 1420, 1450, 1479, 1449, 1419, 1448, 1478, 1447, 1416, 1385], [1385, 1384, 1383, 1352, 1353, 1324, 1354, 1355, 1326, 1325, 1295, 1296, 1297, 1267, 1268, 1269, 1270, 1271, 1302, 1301, 1300, 1299, 1329, 1298, 1328, 1358, 1327, 1357, 1356, 1385], [1385, 1472, 1471, 1502, 1501, 1531, 1532, 1533, 1534, 1564, 1563, 1562, 1561, 1592, 1591, 1621, 1651, 1652, 1622, 1623, 1593, 1594, 1595, 1565, 1566, 1567, 1537, 1536, 1535, 1475, 1362, 1385]]","[60169708, 61371527, 60842970, 66752995]","[39.809946543347046, 33.13556291411146, 31.899494936611667, 49.2043933720295]",249137200,4,4
9,"[[319, 289, 228, 198, 168, 21, 20, 19, 47, 46, 167, 166, 165, 194, 164, 193, 223, 253, 252, 282, 283, 284, 285, 286, 287, 319], [319, 51, 50, 77, 76, 318, 346, 345, 375, 374, 373, 403, 433, 402, 432, 463, 493, 494, 495, 496, 466, 467, 468, 438, 408, 378, 349, 319], [319, 49, 317, 316, 315, 314, 344, 343, 342, 372, 371, 401, 431, 462, 492, 523, 524, 555, 556, 525, 526, 527, 497, 498, 499, 469, 439, 409, 379, 319], [319, 290, 260, 259, 229, 199, 169, 139, 17, 18, 140, 141, 171, 170, 200, 201, 231, 230, 261, 291, 321, 351, 381, 411, 441, 471, 501, 470, 440, 410, 380, 350, 320, 319], [319, 258, 227, 197, 48, 196, 225, 195, 224, 254, 255, 226, 256, 257, 288, 347, 376, 406, 405, 404, 434, 464, 465, 435, 436, 437, 407, 377, 348, 319]]","[61241066, 60685883, 63767229, 62590005, 65398841]","[37.490688577708525, 47.106742033315655, 47.87639870678526, 41.18691259711844, 43.270028774711626]",313683024,5,5
10,"[[1606, 1546, 1547, 1578, 1548, 1579, 1549, 1519, 1550, 1580, 1581, 1611, 1641, 1642, 1672, 1702, 1732, 1762, 1907, 1761, 1731, 1701, 1671, 1670, 1640, 1610, 1609, 1608, 1606], [1606, 1575, 1545, 1515, 1516, 1517, 1518, 1487, 1486, 1456, 1455, 1424, 1454, 1483, 1484, 1485, 1514, 1513, 1543, 1544, 1574, 1604, 1634, 1605, 1576, 1577, 1607, 1909, 1908, 1636, 1606], [1606, 1635, 1665, 1695, 1725, 1726, 1756, 1786, 1787, 1788, 1879, 1789, 1790, 1760, 1759, 1758, 1757, 1727, 1728, 1729, 1730, 1700, 1699, 1698, 1669, 1639, 1638, 1666, 1696, 1697, 1668, 1667, 1637, 1606], [1606, 1816, 1817, 1847, 1877, 1878, 1849, 1848, 1818, 1819, 1820, 1791, 1792, 1821, 1850, 1851, 1880, 1910, 1911, 1912, 1882, 1881, 1852, 1853, 1823, 1822, 1793, 1763, 1733, 1703, 1673, 1606]]","[63840914, 61603644, 64196421, 62792041]","[42.71683273641761, 50.31707842109013, 40.05519988716055, 46.179604825892184]",252433020,4,4
