id_zona,demanda,tienda
330,23033,1
359,8608,1
360,29154,1
389,16524,1
390,8036,1
1379,18171,2
1380,19305,2
1407,9798,2
1408,8591,2
1409,21437,2
1410,23421,2
1440,29625,2
1457,19062,3
1463,17423,3
1488,24491,3
1489,28305,3
1490,28473,3
1491,27668,3
1492,27666,3
1520,28727,3
1521,31293,3
2098,13968,4
2099,13543,4
2100,23201,4
335,10903,6
336,9700,6
337,9845,6
338,8242,6
339,31542,6
361,11440,6
362,27485,6
363,32227,6
364,8351,6
365,26797,6
366,19442,6
367,22779,6
368,30931,6
369,21615,6
391,9566,6
392,21044,6
393,20802,6
394,25257,6
395,20335,6
396,31853,6
397,22997,6
398,14382,6
421,12543,6
422,17296,6
423,30230,6
424,15466,6
425,10924,6
426,12485,6
427,26203,6
428,31741,6
451,31146,6
452,12341,6
453,13826,6
454,8986,6
455,27271,6
456,15682,6
457,31658,6
481,14913,6
482,15807,6
483,19261,6
484,14922,6
511,28064,6
746,16555,7
747,9885,7
748,20900,7
749,12287,7
750,17466,7
771,22823,7
772,22220,7
773,27774,7
774,20071,7
775,14828,7
776,24873,7
777,24101,7
778,24680,7
779,24870,7
780,17377,7
802,24035,7
803,31705,7
804,11560,7
805,11509,7
806,25539,7
807,28308,7
808,18398,7
809,23123,7
810,9185,7
834,8857,7
835,23770,7
836,25963,7
837,29285,7
838,32291,7
1507,15147,8
1508,11291,8
1509,12101,8
1510,21478,8
1511,29959,8
1538,9315,8
1539,30188,8
370,19135,9
371,16952,9
372,31159,9
380,10778,9
399,27376,9
400,9839,9
401,24775,9
411,12408,9
429,30955,9
430,31075,9
431,8398,9
439,31512,9
440,9115,9
441,23066,9
458,22928,9
459,16990,9
460,13754,9
461,22714,9
462,15810,9
469,11170,9
470,12122,9
471,10992,9
489,8749,9
490,21805,9
491,15784,9
492,8975,9
497,25198,9
498,27661,9
499,32062,9
500,13352,9
501,19626,9
521,13330,9
522,26890,9
523,16820,9
524,29677,9
525,21099,9
526,10121,9
527,15771,9
528,18644,9
529,23980,9
530,8753,9
553,21577,9
554,19690,9
555,26192,9
556,8679,9
557,11643,9
558,19974,9
585,31070,9
586,26643,9
587,29231,9
1909,30305,10
1938,18744,10
1939,19229,10
1940,17628,10
1941,8782,10
1942,15315,10
1968,21499,10
1969,11577,10
1970,30849,10
1971,31040,10
1972,11971,10
1998,20521,10
1999,27987,10
2000,31659,10
2001,27718,10
2002,25525,10
2029,24268,10
2030,16502,10
2031,14294,10
2032,14483,10
2059,15182,10
2060,13652,10
2061,30396,10
2062,16865,10
2089,12619,10
2090,14204,10
2091,11687,10
1322,22511,14
1323,16252,14
1351,14963,14
950,22053,15
975,31557,15
977,16546,15
978,11769,15
979,20716,15
1005,12293,15
1006,11917,15
1007,9023,15
1008,25510,15
1178,27036,16
1181,23305,16
1182,26704,16
1183,25978,16
1208,25894,16
1209,25367,16
1210,30066,16
1211,28882,16
1212,11533,16
1213,26947,16
1239,30154,16
1240,18880,16
1241,29953,16
1242,11018,16
1243,8695,16
1272,25904,16
1273,25561,16
1245,25563,17
1246,11554,17
1247,31212,17
1248,18790,17
1249,29491,17
1250,13147,17
1274,27415,17
1275,27222,17
1276,17426,17
1277,23236,17
