tienda,rutas,carga,distancia,carga_total,n_camiones_utilizados,n_camiones_disponibles
1,"[[322, 112, 82, 52, 28, 29, 30, 60, 59, 90, 120, 119, 149, 180, 150, 210, 240, 270, 300, 329, 384, 383, 353, 413, 443, 473, 472, 442, 412, 382, 352, 322], [322, 292, 262, 263, 294, 264, 233, 234, 204, 205, 175, 24, 25, 26, 27, 176, 177, 207, 237, 206, 236, 235, 265, 295, 325, 355, 354, 324, 323, 293, 322], [322, 297, 298, 299, 269, 239, 209, 179, 148, 118, 117, 116, 115, 114, 84, 85, 86, 87, 88, 89, 58, 57, 56, 55, 54, 53, 22, 83, 113, 143, 142, 172, 322], [322, 232, 202, 203, 173, 174, 144, 23, 145, 146, 147, 178, 208, 238, 268, 267, 266, 296, 326, 327, 328, 358, 388, 418, 417, 387, 357, 356, 386, 416, 445, 444, 415, 414, 385, 322]]","[61914976, 61206841, 67557896, 67761113]","[49.710568024552, 39.85489327667794, 42.577728178211856, 47.8576471055736]",258440826,4,4
2,"[[1439, 1348, 1349, 1350, 1319, 1320, 1290, 1289, 1288, 1318, 1317, 1347, 1377, 1438, 1468, 1498, 1528, 1558, 1559, 1589, 1590, 1560, 1530, 1529, 1499, 1500, 1470, 1469, 1439]]",[60099911],[31.812559200041264],60099911,1,1
3,"[[1371, 1433, 1342, 1343, 1313, 1344, 1345, 1315, 1284, 1314, 1283, 1282, 1312, 1307, 1337, 1336, 1335, 1334, 1364, 1394, 1395, 1425, 1426, 1427, 1396, 1365, 1366, 1397, 1367, 1368, 1371], [1371, 1370, 1400, 1401, 1431, 1432, 1462, 1461, 1460, 1459, 1458, 1428, 1398, 1429, 1430, 1399, 1369, 1339, 1309, 1338, 1308, 1304, 1278, 1279, 1280, 1310, 1340, 1371], [1371, 1341, 1305, 1306, 1311, 1281, 1251, 1252, 1253, 1254, 1285, 1255, 1224, 1225, 1256, 1287, 1286, 1316, 1346, 1376, 1375, 1405, 1434, 1404, 1374, 1373, 1403, 1402, 1372, 1371]]","[60296352, 61367616, 60902134]","[42.47598615915314, 34.77995987511004, 40.153830342163694]",182566102,3,3
4,"[[1680, 1650, 1620, 1619, 1618, 1649, 1648, 1647, 2033, 2092, 2093, 2094, 2063, 2064, 2095, 2065, 2034, 2035, 2066, 2067, 2036, 2037, 2068, 2069, 2038, 2039, 2070, 2040, 2010, 1680], [1680, 1679, 1708, 1707, 1677, 1676, 1706, 1705, 1704, 1734, 1764, 1794, 1824, 1855, 2004, 1886, 1887, 1888, 1889, 1890, 1860, 1830, 1800, 1770, 1740, 1710, 1680], [1680, 1739, 1769, 1799, 1829, 1859, 1858, 1857, 2007, 2006, 2005, 1856, 1825, 1826, 1827, 1828, 1798, 1768, 1767, 1797, 1796, 1795, 1765, 1735, 1766, 1736, 1737, 1738, 1709, 1680], [1680, 1920, 1950, 1980, 1979, 2009, 2008, 1978, 1977, 1976, 1975, 1974, 2003, 1973, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1919, 1918, 1917, 1916, 1915, 1914, 1913, 1883, 1884, 1885, 1854, 1678, 1680]]","[61373604, 62634033, 60350392, 65162534]","[56.56546054759308, 34.39958259333856, 39.99194174058495, 48.03952967567416]",249520563,4,4
5,"[[1660, 1630, 1601, 1600, 1570, 1540, 1541, 1512, 1542, 1573, 1603, 1572, 1571, 1602, 1633, 1663, 1664, 1694, 1693, 1692, 1662, 1632, 1631, 1660], [1660, 1599, 1569, 1568, 1597, 1626, 1656, 1655, 1685, 1684, 1714, 1713, 1712, 1742, 1772, 1802, 1833, 1864, 1863, 1894, 1895, 1896, 1897, 1898, 1899, 1900, 1930, 1960, 1961, 1931, 1901, 1871, 1872, 1873, 1874, 1844, 1843, 1842, 1841, 1811, 1812, 1813, 1784, 1783, 1782, 1781, 1752, 1753, 1723, 1722, 1691, 1661, 1660], [1660, 1689, 1719, 1749, 1748, 1778, 1779, 1809, 1839, 1838, 1837, 1836, 1835, 1804, 1774, 1805, 1806, 1807, 1808, 1777, 1776, 1746, 1747, 1717, 1718, 1688, 1658, 1659, 1629, 1628, 1598, 1627, 1657, 1687, 1686, 1716, 1715, 1745, 1775, 1744, 1743, 1773, 1803, 1834, 1865, 1866, 1867, 1868, 1869, 1870, 1840, 1810, 1780, 1750, 1751, 1721, 1720, 1690, 1660], [1660, 1596, 1625, 1624, 1654, 1653, 1683, 1682, 1681, 1711, 1741, 1771, 1801, 1832, 1862, 1893, 1892, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1959, 1958, 1957, 1956, 1955, 1954, 1953, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1962, 1963, 1964, 1965, 1966, 1967, 1937, 1936, 1935, 1934, 1933, 1932, 1902, 1903, 1904, 1905, 1906, 1876, 1875, 1846, 1845, 1815, 1814, 1785, 1755, 1754, 1724, 1660], [1660, 1831, 1861, 1891, 1922, 1921, 1952, 1951, 1982, 1981, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2049, 2048, 2047, 2046, 2045, 2044, 2043, 2042, 2041, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2058, 2057, 2056, 2055, 2054, 2053, 2052, 2051, 2050, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 1997, 1996, 1995, 1994, 1993, 1660]]","[43529378, 108732532, 120480819, 139582802, 139857758]","[25.899494936611667, 56.54977647648454, 61.31370849898475, 77.42955328423773, 90.87526232687571]",552183289,5,5
6,"[[34, 63, 93, 92, 123, 153, 281, 280, 308, 307, 306, 305, 303, 302, 301, 183, 152, 121, 122, 91, 61, 31, 1, 2, 32, 62, 33, 3, 34], [34, 64, 94, 124, 154, 155, 156, 186, 187, 188, 189, 251, 222, 159, 129, 158, 157, 128, 98, 127, 126, 125, 96, 95, 65, 34], [34, 4, 5, 6, 7, 37, 38, 39, 40, 70, 71, 41, 42, 72, 73, 103, 102, 101, 131, 221, 160, 130, 100, 99, 69, 68, 97, 67, 66, 36, 35, 34], [34, 151, 182, 181, 211, 212, 213, 243, 242, 241, 271, 272, 273, 274, 304, 275, 276, 277, 278, 279, 250, 220, 249, 248, 247, 246, 245, 244, 214, 184, 34], [34, 8, 9, 10, 11, 12, 13, 43, 44, 14, 15, 16, 45, 75, 74, 104, 134, 133, 163, 192, 162, 132, 161, 191, 190, 219, 218, 217, 216, 215, 185, 34]]","[60377369, 60905221, 60782462, 67566289, 68165409]","[44.551970779110185, 31.919259774448754, 34.650281539872886, 39.65685424949238, 39.87897938870283]",317796750,5,5
7,"[[535, 505, 506, 536, 566, 565, 595, 596, 597, 626, 627, 598, 568, 567, 537, 507, 476, 475, 474, 504, 534, 533, 563, 618, 593, 624, 594, 564, 535], [535, 503, 502, 532, 531, 561, 560, 559, 588, 589, 619, 649, 680, 681, 650, 620, 590, 591, 592, 623, 653, 654, 684, 714, 744, 745, 715, 685, 655, 625, 535], [535, 446, 447, 448, 478, 509, 479, 449, 419, 420, 450, 480, 510, 540, 570, 600, 630, 660, 689, 688, 687, 658, 628, 659, 629, 599, 569, 539, 538, 508, 477, 535], [535, 562, 622, 621, 617, 651, 652, 683, 682, 713, 712, 711, 741, 742, 743, 773, 774, 775, 805, 806, 807, 777, 776, 746, 747, 748, 718, 717, 716, 686, 656, 657, 535]]","[62778953, 63215957, 62901918, 64257179]","[38.55525213259276, 34.89292222699217, 37.061772596780045, 45.58594636553181]",253154007,4,4
8,"[[1385, 1356, 1357, 1359, 1360, 1330, 1331, 1361, 1362, 1451, 1452, 1423, 1393, 1363, 1333, 1303, 1332, 1302, 1271, 1301, 1300, 1327, 1326, 1325, 1324, 1353, 1352, 1383, 1384, 1354, 1355, 1385], [1385, 1415, 1416, 1386, 1387, 1417, 1453, 1480, 1478, 1447, 1446, 1445, 1444, 1443, 1474, 1475, 1476, 1477, 1506, 1505, 1504, 1503, 1472, 1473, 1442, 1411, 1381, 1382, 1412, 1413, 1414, 1385], [1385, 1295, 1296, 1297, 1267, 1268, 1269, 1270, 1299, 1329, 1298, 1328, 1358, 1388, 1389, 1390, 1391, 1392, 1422, 1421, 1420, 1450, 1479, 1449, 1419, 1448, 1418, 1385], [1385, 1441, 1471, 1502, 1501, 1531, 1532, 1533, 1534, 1564, 1563, 1562, 1561, 1592, 1591, 1621, 1651, 1652, 1622, 1623, 1593, 1594, 1595, 1565, 1566, 1567, 1535, 1536, 1537, 1481, 1385]]","[61147460, 60683376, 63890420, 66661900]","[38.809836694575324, 42.14453512707826, 32.81913190966076, 44.7169709447445]",252383156,4,4
9,"[[319, 289, 228, 198, 168, 21, 20, 19, 46, 167, 166, 165, 194, 164, 193, 223, 253, 252, 282, 283, 284, 285, 286, 287, 319], [319, 51, 50, 49, 78, 77, 76, 318, 346, 345, 375, 374, 373, 403, 433, 402, 432, 463, 493, 494, 495, 496, 466, 467, 468, 438, 408, 378, 319], [319, 48, 317, 316, 315, 314, 344, 343, 342, 372, 371, 401, 431, 462, 492, 523, 524, 555, 556, 525, 526, 527, 497, 498, 499, 469, 439, 409, 379, 349, 319], [319, 290, 260, 259, 229, 199, 169, 139, 17, 18, 140, 141, 171, 170, 200, 201, 231, 230, 261, 291, 321, 351, 381, 411, 441, 471, 501, 470, 440, 410, 380, 350, 320, 319], [319, 258, 227, 197, 47, 196, 225, 195, 224, 254, 255, 226, 256, 257, 288, 347, 376, 406, 405, 404, 434, 464, 465, 435, 436, 437, 407, 377, 348, 319]]","[60300173, 60361268, 66557186, 62789123, 65711275]","[37.41689826037711, 47.18053235064707, 47.76762452576721, 41.18691259711844, 42.88486396757712]",315719025,5,5
10,"[[1606, 1608, 1609, 1610, 1640, 1670, 1671, 1701, 1731, 1761, 1907, 1762, 1732, 1702, 1672, 1642, 1641, 1611, 1581, 1580, 1550, 1519, 1549, 1579, 1548, 1578, 1547, 1546, 1606], [1606, 1636, 1908, 1909, 1607, 1577, 1576, 1575, 1545, 1515, 1516, 1517, 1518, 1487, 1486, 1456, 1455, 1424, 1454, 1483, 1484, 1485, 1514, 1513, 1543, 1544, 1574, 1604, 1634, 1605, 1606], [1606, 1638, 1639, 1669, 1698, 1699, 1700, 1730, 1729, 1728, 1727, 1757, 1758, 1759, 1760, 1790, 1789, 1879, 1788, 1787, 1786, 1756, 1726, 1725, 1695, 1665, 1635, 1666, 1696, 1697, 1668, 1667, 1637, 1606], [1606, 1816, 1817, 1847, 1877, 1878, 1849, 1848, 1818, 1819, 1820, 1791, 1792, 1821, 1850, 1851, 1880, 1910, 1911, 1912, 1882, 1881, 1852, 1853, 1823, 1822, 1793, 1763, 1733, 1703, 1673, 1606]]","[63875260, 61668265, 63899683, 62934748]","[42.7168327364176, 49.48865129634392, 40.05519988716054, 46.179604825892184]",252377956,4,4
11,"[[821, 822, 823, 824, 825, 855, 856, 826, 827, 797, 798, 768, 769, 770, 739, 738, 707, 737, 767, 736, 766, 796, 795, 794, 793, 821], [821, 820, 819, 849, 760, 730, 700, 670, 640, 610, 609, 608, 578, 577, 576, 546, 545, 544, 543, 514, 513, 512, 541, 571, 542, 572, 601, 631, 661, 691, 721, 751, 781, 811, 812, 813, 843, 844, 814, 815, 845, 875, 876, 846, 816, 817, 847, 877, 907, 908, 909, 940, 941, 942, 913, 884, 854, 853, 852, 851, 821], [821, 791, 761, 762, 733, 703, 704, 673, 643, 644, 614, 613, 612, 642, 672, 702, 732, 731, 701, 671, 641, 611, 581, 580, 579, 549, 548, 547, 517, 516, 515, 485, 486, 487, 488, 518, 519, 520, 550, 551, 552, 582, 583, 584, 615, 616, 647, 678, 708, 677, 646, 645, 676, 706, 675, 674, 705, 735, 765, 734, 764, 763, 792, 821], [821, 790, 789, 759, 758, 757, 756, 755, 754, 753, 723, 693, 663, 633, 604, 634, 664, 635, 665, 666, 667, 668, 698, 697, 696, 695, 694, 724, 725, 726, 727, 728, 729, 699, 669, 639, 638, 637, 636, 607, 606, 605, 575, 574, 603, 573, 602, 632, 662, 692, 722, 752, 782, 783, 784, 785, 786, 787, 788, 818, 848, 878, 879, 910, 911, 912, 883, 882, 881, 880, 850, 821]]","[49091798, 114761331, 127088238, 139368109]","[27.478708664619077, 65.06177259678003, 68.38477631085021, 74.72792206135784]",430309476,4,4
