id_zona,venta_digital,stock_actual,tienda,vehiculo,I_UB,distancia,cluster_ordenado,n_k (total clientes),centroide,c_k
1,23.090729783037474,3920.091715976331,6,2,2309.0729783037473,44.14,1,1333,44.85925461320241,0.03365285417344517
2,28.641025641025642,3920.091715976331,6,0,2864.1025641025644,37.07,1,1333,44.85925461320241,0.03365285417344517
3,30.11242603550296,3920.091715976331,6,0,3011.242603550296,37.07,1,1333,44.85925461320241,0.03365285417344517
4,13.539447731755423,3920.091715976331,6,0,1353.9447731755424,37.07,1,1333,44.85925461320241,0.03365285417344517
5,11.014792899408285,3920.091715976331,6,0,1101.4792899408285,37.07,1,1333,44.85925461320241,0.03365285417344517
6,27.30966469428008,3920.091715976331,6,0,2730.966469428008,37.07,1,1333,44.85925461320241,0.03365285417344517
7,10.512820512820513,3920.091715976331,6,0,1051.2820512820513,37.07,1,1333,44.85925461320241,0.03365285417344517
8,14.62524654832347,3920.091715976331,6,0,1462.524654832347,37.07,1,1333,44.85925461320241,0.03365285417344517
9,30.393491124260354,3920.091715976331,6,0,3039.3491124260354,37.07,1,1333,44.85925461320241,0.03365285417344517
10,20.500986193293887,3920.091715976331,6,0,2050.098619329389,37.07,1,1333,44.85925461320241,0.03365285417344517
11,25.04240631163708,3920.091715976331,6,0,2504.240631163708,37.07,1,1333,44.85925461320241,0.03365285417344517
12,26.357001972386588,3920.091715976331,6,0,2635.700197238659,37.07,1,1333,44.85925461320241,0.03365285417344517
13,15.609467455621301,3920.091715976331,6,0,1560.9467455621302,37.07,1,1333,44.85925461320241,0.03365285417344517
14,29.330374753451675,3920.091715976331,6,0,2933.0374753451674,37.07,1,1333,44.85925461320241,0.03365285417344517
15,20.13905325443787,3920.091715976331,6,0,2013.9053254437868,37.07,1,1333,44.85925461320241,0.03365285417344517
16,24.97731755424063,3920.091715976331,6,0,2497.731755424063,37.07,1,1333,44.85925461320241,0.03365285417344517
17,22.128205128205128,3889.3254437869823,9,3,2212.8205128205127,46.51,1,1333,44.85925461320241,0.03365285417344517
18,30.558185404339252,3889.3254437869823,9,3,3055.818540433925,46.51,1,1333,44.85925461320241,0.03365285417344517
19,22.644970414201183,3889.3254437869823,9,3,2264.4970414201184,46.51,1,1333,44.85925461320241,0.03365285417344517
20,30.234714003944774,3889.3254437869823,9,3,3023.4714003944773,46.51,1,1333,44.85925461320241,0.03365285417344517
21,9.597633136094675,3889.3254437869823,9,3,959.7633136094676,46.51,1,1333,44.85925461320241,0.03365285417344517
22,23.650887573964496,2548.25641025641,1,3,2365.0887573964496,48.63,1,1333,44.85925461320241,0.03365285417344517
23,23.807692307692307,2548.25641025641,1,3,2380.7692307692305,48.63,1,1333,44.85925461320241,0.03365285417344517
24,18.922090729783037,2548.25641025641,1,3,1892.2090729783035,48.63,1,1333,44.85925461320241,0.03365285417344517
25,21.592702169625248,2548.25641025641,1,3,2159.270216962525,48.63,1,1333,44.85925461320241,0.03365285417344517
26,15.18639053254438,2548.25641025641,1,3,1518.6390532544378,48.63,1,1333,44.85925461320241,0.03365285417344517
27,24.851084812623274,2548.25641025641,1,3,2485.1084812623276,48.63,1,1333,44.85925461320241,0.03365285417344517
28,13.014792899408285,2548.25641025641,1,3,1301.4792899408285,48.63,1,1333,44.85925461320241,0.03365285417344517
29,8.61439842209073,2548.25641025641,1,3,861.439842209073,48.63,1,1333,44.85925461320241,0.03365285417344517
30,27.371794871794872,2548.25641025641,1,3,2737.1794871794873,48.63,1,1333,44.85925461320241,0.03365285417344517
31,13.61439842209073,3920.091715976331,6,2,1361.439842209073,44.14,1,1333,44.85925461320241,0.03365285417344517
32,13.314595660749507,3920.091715976331,6,2,1331.4595660749508,44.14,1,1333,44.85925461320241,0.03365285417344517
33,25.805719921104536,3920.091715976331,6,0,2580.5719921104537,37.07,1,1333,44.85925461320241,0.03365285417344517
34,32.751479289940825,3920.091715976331,6,2,3275.1479289940826,44.14,1,1333,44.85925461320241,0.03365285417344517
35,27.058185404339252,3920.091715976331,6,1,2705.818540433925,42.23,1,1333,44.85925461320241,0.03365285417344517
36,16.24852071005917,3920.091715976331,6,1,1624.8520710059172,42.23,1,1333,44.85925461320241,0.03365285417344517
